eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost,rating_type
199705017,1997-04-15,UBC Tuesday March,BC,24,100934,4.0,2316,2250,R
199707011,1997-06-14,BC Closed,BC,8,109715,6.0,2472,2306,R
199810034,1998-10-06,UBC Tues Night Sept 98,BC,32,0,5.0,2586,2332,R
199907017,1999-07-11,1999 Canadian Open,BC,204,100205,8.0,2356,2344,R
200012101,2000-11-24,Surrey November Active,BC,11,0,5.0,1807,2035,Q
200203040,2002-03-03,March Open Qualifier,BC,36,0,4.0,2307,2348,R
200407079,2004-07-18,Western Canadian Open,BC,97,0,6.5,2247,2333,R
200610107,2006-10-08,2006 BC Open Championship,BC,16,121305,5.5,2201,2331,R
201009009,2010-09-06,2010 Langley Club Labor Day Open,BC,44,110351,4.5,2153,2328,R
201102044,2011-02-20,2011 Valentines Open,BC,20,108715,4.5,2289,2342,R
201112003,2011-12-03,BC December Open,BC,15,145502,3.0,1784,2318,R
201410050,2014-10-26,2014 Vancouver West Open,BC,38,152691,5.0,2177,2319,R
201412019,2014-12-07,Vancouver West Open #2,BC,22,152691,4.5,2055,2307,R
201501023,2015-01-25,West Vancouver Open #3,BC,24,152691,5.5,2305,2317,R
201503015,2015-03-08,Vancouver West Open #4,BC,19,152691,4.0,2034,2298,R
201507037,2015-06-28,2015 BC Senior Championship,BC,33,105650,4.5,2242,2300,R
201508009,2015-08-02,Vancouver West Open #6,BC,21,152691,5.0,2348,2312,R
201609005,2016-09-05,Langley Labour Day Open,BC,61,143038,3.5,1859,2299,R
201806068,2018-06-24,BC Senior Championship,BC,30,104186,4.0,2139,2292,R
201904058,2019-04-06,Chilliwack CC 2019,BC,29,159534,6.0,2029,2239,Q
202207040,2022-07-17,BC Senior Championship 2022,BC,29,104186,4.5,2140,2296,R
202208040,2022-08-14,Vancity Rapid 3 Open,BC,42,120472,5.0,2048,2263,Q
202209045,2022-09-05,2022 Langley Open,BC,106,110646,4.5,2005,2286,R
202209071,2022-09-18,Vancity Rapid 4 Open,BC,36,174632,4.0,1693,2232,Q
202211001,2022-10-22,Vancity Rapid 5 Open,BC,51,120472,5.0,2183,2237,Q
202211126,2022-11-27,Vancity Rapid 6 Open,BC,36,120472,3.5,1945,2216,Q
202212029,2022-12-11,Vancity Classical Open,BC,26,137101,3.5,1916,2261,R
202301036,2023-01-14,Fraser Valley Rapid 2 Open,BC,32,176962,6.0,2228,2229,Q
202302066,2023-02-12,Vancity February Rapid Open,BC,29,120472,5.0,2130,2226,Q
202302077,2023-02-20,BC Open Premier,BC,64,104186,5.0,2331,2271,R
202303021,2023-02-23,Fraser Valley Rapid 3 Open,BC,30,176962,4.0,1899,2210,Q
202303060,2023-03-05,Vancity Rapid March Open,BC,36,137101,3.5,2084,2204,Q
202304060,2023-04-15,FRASER VALLEY BLITZ OPEN,BC,22,176962,11.0,1496,2178,Q
202304061,2023-04-15,Fraser Valley Senior Rapid 2023,BC,9,176962,5.0,1824,2159,Q
202305109,2023-05-22,Keres Memorial Premier,BC,32,103043,3.0,2064,2249,R
202306012,2023-05-27,Lulu Island Rapid Open,BC,37,150533,5.5,2166,2188,Q
202306068,2023-06-11,BC Senior Championship,BC,37,104186,3.5,2019,2239,R
202306115,2023-06-17,Vancity June Rapid Open,BC,27,137101,4.5,1906,2163,Q
202306138,2023-06-25,SFU Summer Open,BC,19,143038,1.5,1722,2174,R
202307046,2023-07-15,Vancity Rapid July Open,BC,30,137101,5.0,2194,2192,Q
202308050,2023-08-12,Fraser Valley Rapid 6 Open,BC,20,176962,5.0,2132,2202,Q
202309003,2023-09-04,Langley Open Premier,BC,26,110646,3.5,2146,2172,R
202309047,2023-09-17,VCF Classical Open,BC,9,152691,3.0,2201,2179,R
202309078,2023-09-23,Fraser Valley Rapid 7 Open,BC,25,176962,3.5,1729,2136,Q
202310040,2023-10-07,Vancity Rapid October Open,BC,29,137101,5.0,2125,2145,Q
202311030,2023-10-29,Halloween Chess Fest 2023,BC,29,176962,8.5,1467,2024,Q
202311031,2023-10-29,VCF 2 Rapid Open,BC,16,152691,4.5,2070,2052,Q
202311091,2023-11-18,Vancity Rapid Fall Open,BC,25,137101,5.0,2174,2098,Q
202312062,2023-12-09,VCF 4 Rapid Open,BC,6,152691,4.0,2070,2103,Q
202312107,2023-12-24,Christmas Rapid Open 2023,BC,32,176962,5.0,1807,2090,Q
202407006,2024-06-23,BC Senior Championship,BC,41,104186,2.5,1835,2122,R
202407059,2024-07-06,Fraser Valley Rapid 12 Open,BC,24,176962,4.0,1931,2072,Q
202409076,2024-09-21,Lulu Island Fall Rapid Open,BC,42,150533,4.0,1643,2014,Q
202412087,2024-12-14,Christmas Blitz Chess Championship,BC,49,150533,8.0,1852,1960,Q
202502027,2025-02-01,Fraser Valley Rapid 14 Open,BC,32,176962,4.5,2102,2007,Q
