eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost,rating_type
199607028,1996-06-16,Winnipeg Fathers Day,MB,27,0,4.5,2237,2373,R
199607066,1996-07-22,Canadian Open 1996,AB,147,0,7.5,2361,2375,R
199609031,1996-07-01,Winnipeg Canada Day,MB,26,0,5.5,2221,2375,R
199609071,1996-08-05,MB Summer Open,MB,19,0,5.5,2135,2375,R
199701081,1997-01-02,Kent Oliver Memorial,MB,32,0,4.5,2405,2384,R
199703079,1997-03-01,Manitoba Closed,MB,10,0,7.0,2379,2385,R
199707060,1997-07-20,Canadian Open,MB,188,100925,6.5,2229,2363,R
199711053,1997-11-09,Winnipeg Remembrance Day,MB,22,106687,4.5,2272,2366,R
199712039,1997-12-06,Harry Yanofsky Memorial,MB,12,0,3.5,2310,2368,R
199801007,1998-01-04,Kent Oliver Memorial,MB,27,0,4.5,2420,2378,R
199803015,1998-02-22,1998 Manitoba Closed Championship,MB,8,0,5.5,2345,2378,R
199805039,1998-04-24,Manitoba Team Master,MB,9,0,0.5,2195,2374,R
199806006,1998-05-18,Manitoba Open,MB,49,100925,5.5,2416,2386,R
199806056,1998-06-14,Winnipeg Open,MB,19,0,4.5,2365,2390,R
199808012,1998-07-26,Winnipeg Summer Open,MB,19,103280,5.0,2282,2395,R
199811001,1998-08-22,Master Invitational,MB,6,111177,3.5,2380,2393,R
199811002,1998-09-08,2nd Albert Boxer Open,MB,35,100925,5.0,2281,2387,R
199901031,1998-12-06,3rd Harry Yanofsky,MB,21,100925,3.5,2083,2368,R
199901054,1999-01-10,Kent Oliver,MB,34,100925,4.0,2294,2366,R
199903018,1999-02-21,1999 Manitoba Closed Champ,MB,8,0,6.0,2389,2371,R
199906002,1999-05-01,Gentes vs Kirton,MB,2,0,2.0,2345,2369,R
199906056,1999-05-24,Manitoba Open,MB,36,0,3.5,2233,2358,R
199909031,1999-09-09,1999 Canadian Closed,ON,26,104137,3.5,2272,2342,R
200002009,2000-01-09,Kent Oliver Memorial,MB,20,0,4.0,2247,2342,R
200004012,2000-03-01,Kirton vs Gentes,MB,2,0,3.0,2262,2331,R
200005048,2000-04-23,Easter Open,MB,14,0,4.5,2218,2330,R
200006065,2000-05-22,Manitoba Open 2000,MB,28,0,5.5,2433,2344,R
200010086,2000-10-15,Manitoba Thanksgiving Open,MB,16,100925,4.5,2365,2348,R
200102020,2001-01-14,Kent Oliva Memorial 2001 Over1800,MB,8,0,3.5,2335,2347,R
200102076,2001-01-30,January TNT,MB,14,0,3.5,2104,2342,R
200102104,2001-02-11,St Valentines Day Champ 2001 Open,ON,13,0,3.5,2369,2346,R
200103005,2001-02-01,TNT February 2001,MB,12,0,4.0,2196,2348,R
200103034,2001-02-18,Manitoba Reserve Open,MB,14,0,5.0,2116,2349,R
200104032,2001-03-15,St Patricks Day Open,MB,11,0,5.0,2119,2350,R
200104125,2001-04-15,2001 Toronto Open Chess Championshi,ON,32,0,5.0,2646,2380,R
200105120,2001-04-22,Winnipeg Easter Open,MB,16,0,4.0,1944,2365,R
200105150,2001-05-21,Keres Memorial 2001 Open,BC,53,0,5.0,2390,2371,R
200107002,2001-06-24,Winnipeg Open,MB,16,0,5.0,2024,2374,R
200111017,2001-10-08,Thanksgiving Open,MB,9,0,6.0,2016,2374,R
200112011,2001-11-11,Remembrance Day Open,MB,24,0,4.5,2115,2370,R
