eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost,rating_type
200904015,2009-03-29,Vancouver Island  U8 U10 Combined,BC,11,105433,4.0,906,916,R
200904040,2009-04-04,BC Chess Challenge Grade 3,BC,29,145502,3.0,802,874,R
200904052,2009-04-13,2009 Grand Pacific U1400-3rd Annual,BC,14,100317,4.0,1250,1032,R
200907022,2009-07-24,2009 CYCC U10 Open,BC,19,129909,4.5,1412,1164,R
200907035,2009-07-26,2009 BC Open Ch,BC,49,129909,2.0,1791,1232,R
201004011,2010-04-04,4th Annual Grand Pacific Open Ch,BC,73,129909,2.5,1714,1306,R
201005071,2010-05-24,35th Keres Memorial U2000,BC,34,103043,3.5,1769,1398,R
201007016,2010-07-09,2010 CYCC U10 Open,ON,20,107872,5.5,1502,1464,R
201009009,2010-09-06,2010 Langley Club Labor Day Open,BC,44,110351,3.5,1870,1549,R
201009020,2010-09-12,IJO 1 2010,BC,6,129909,4.5,1386,1562,R
201012010,2010-12-05,2010 Victoria City Jr Ch Gr 4-7,BC,9,127485,5.0,1432,1921,R
201104023,2011-04-09,2011 BC Chess Challenge Gr 5,BC,23,111251,4.5,1504,1907,R
201104069,2011-04-25,5th Annual Grand Pacific Open,BC,86,129909,3.5,1859,1908,R
201107018,2011-07-09,2011 Canadian Youth Ch U12 Open,ON,45,127489,5.0,1941,1945,R
201107027,2011-07-17,48th Canadian Open Ch 2011,ON,152,100234,4.5,2215,2037,R
201108002,2011-08-01,2011 BC Open,BC,20,103043,4.0,2127,2064,R
201111019,2011-11-13,2011 BC Junior Ch,BC,12,145502,2.5,2005,2053,R
201201009,2012-01-08,2012 Canadian Junior Ch,AB,12,101768,3.0,1976,2033,R
201204009,2012-04-09,6th Annual Grand Pacific Open,BC,67,129909,4.0,2120,2057,R
201205030,2012-05-21,37th Paul Keres Memorial,BC,36,103043,3.0,1956,2031,R
201207011,2012-07-06,2012 Canadian Youth Ch U12 Open,BC,44,145502,6.5,1919,2053,R
201207023,2012-07-13,2012 Canadian Open Ch,BC,78,103043,4.5,2234,2178,R
201209008,2012-09-03,2012 Langley Club Labour Day Open,BC,60,110351,4.5,2036,2157,R
201210008,2012-10-08,2012 Vancouver Open,BC,43,102330,5.0,2275,2212,R
201212007,2012-12-02,2012 BC Junior Ch,BC,17,152691,4.0,2175,2223,R
201302016,2013-02-11,2013 BC Open Ch Premier,BC,43,104186,3.0,2053,2208,R
201304002,2013-04-01,7th Annual Grand Pacific Open,BC,66,103043,4.5,2234,2213,R
201305004,2013-05-20,2013 Calgary International,AB,20,105606,4.5,2316,2239,R
201307027,2013-07-12,2013 CYCC - U14,ON,45,106856,5.0,2123,2237,R
201307035,2013-07-20,2013 Canadian Open,ON,178,110490,5.5,2326,2279,R
201307044,2013-07-28,2013 Quebec Open - Invitational,QC,55,126146,4.5,2321,2297,R
201308033,2013-08-18,2013 NAYCC - U18,ON,29,107391,6.0,2155,2293,R
201309005,2013-09-02,2013 Langley Open,BC,55,110351,4.5,2304,2309,R
201310013,2013-10-14,2013 BC Championship,BC,8,108715,3.0,2210,2295,R
201311049,2013-11-10,2013 BCCF Junior Ch,BC,20,152691,4.0,2345,2302,R
201311066,2013-11-16,28th Annual Jack Taylor Memorial,BC,13,103043,3.5,2078,2297,R
201404068,2014-04-21,8th Grand Pacific Open - Premier,BC,64,104186,5.0,2371,2308,R
201405042,2014-05-19,2014 Keres Memorial - Premier,BC,26,103043,4.5,2399,2330,R
201408003,2014-07-26,Canadian Open - 2400+,QC,43,106007,5.0,2492,2379,R
201408016,2014-08-04,2014 North American Junior Champion,ON,49,127489,6.0,2330,2373,R
201410023,2014-10-13,2014 BC Closed,BC,8,103043,5.5,2490,2398,R
201411035,2014-11-16,Jack Taylor Memorial 2014,BC,16,103043,4.0,2201,2394,R
201504041,2015-04-06,9th Grand Pacific Open Premier,BC,45,103043,5.0,2421,2409,R
201505064,2015-05-18,2015 Paul Keres Memorial Premier,BC,32,104330,5.0,2542,2439,R
201507052,2015-07-16,2015 Canadian Closed,ON,44,111830,5.0,2419,2434,R
201508001,2015-07-25,2015 Championnats Francophonie Open,QC,157,106007,3.0,2249,2421,R
201508004,2015-07-30,2015 North American Junior,ON,47,111830,5.5,2293,2400,R
201508026,2015-08-04,FIDE Kitchener Masters,ON,10,127489,4.0,2409,2402,R
201510026,2015-10-12,2015 BC Closed,BC,8,102330,5.0,2413,2403,R
201511034,2015-11-15,2015 Jack Taylor Memorial,BC,28,103043,4.0,2154,2399,R
201601045,2016-01-17,2016 Victoria Championship Schev,BC,10,104186,2.5,2275,2386,R
201602019,2016-02-08,2016 BC Open Premier,BC,30,103043,3.5,2200,2367,R
201603087,2016-03-28,10th Grand Pacific Open Premier,BC,52,103043,5.0,2568,2400,R
201610031,2016-10-10,BC Closed Championship,BC,8,108715,5.5,2488,2413,R
201611061,2016-11-20,Jack Taylor Memorial Premier,BC,27,103043,4.5,2343,2414,R
201704070,2017-04-17,11th Grand Pacific Open Premier,BC,33,103043,4.5,2305,2406,R
201708027,2017-08-07,10th Calgary International,AB,34,135072,5.5,2476,2423,R
201804016,2018-04-02,Grand Pacific Open Premier,BC,43,104186,3.5,2170,2398,R
