eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost,rating_type
201504082,2015-02-07,CJCC Valentines Jr 2015 Novice,AB,18,152905,0.0,-148,200,Q
201504086,2015-03-07,St Patrick's Jr Novice,AB,16,152905,1.5,298,249,Q
201504101,2015-04-11,2015 Calgary Jr Easter Novice,AB,15,0,3.0,664,387,Q
201504126,2015-04-25,Calgary School Championship-Div 1,AB,28,0,3.0,714,466,Q
201506012,2015-05-09,CJCC Spring Fling Novice 2015,AB,16,0,3.5,608,494,Q
201506014,2015-05-23,AB Schools Ch - Division I,AB,16,0,4.0,969,699,Q
201506046,2015-06-06,CJCC Club Championship-Novice,AB,12,0,3.0,665,701,Q
201509027,2015-09-12,CJCC Back to School-Intermediate,AB,15,0,2.0,683,719,Q
201510015,2015-09-27,Calgary Sept Chess School Intm,AB,11,0,3.0,960,808,Q
201510017,2015-10-03,Calgary Thanksgiving Jr. Intermed,AB,22,0,3.0,966,872,Q
201510041,2015-10-25,Calgary Jr. Championship-Under 1300,AB,21,0,4.0,1098,1098,R
201510052,2015-10-18,CJCC Chess School-Intermediate,AB,18,0,4.0,1108,1023,Q
201511038,2015-11-15,Alberta Jr U1300,AB,16,135072,4.0,1041,1070,R
201511044,2015-11-07,CJCC Halloween Jr. Intermediate,AB,20,0,2.5,908,999,Q
201512023,2015-12-05,CJCC Christmas Open,AB,6,0,1.0,935,984,Q
201512054,2015-12-19,CJCC Christmas Party Team,AB,47,0,4.0,1422,1151,Q
201601049,2016-01-16,New Year Jr.,AB,8,0,2.0,1208,1180,Q
201602011,2016-01-30,2016 Calgary Youth Championship U8,AB,6,0,5.0,1150,1214,Q
201602063,2016-02-21,2016 AB Youth Championship U8,AB,18,0,4.5,1248,1117,R
201603027,2016-03-05,CJCC St. Patrick-Open,AB,10,0,3.0,1392,1279,Q
201603037,2016-03-13,2016 March of Kings,AB,33,101768,2.0,1278,1151,R
201603065,2016-03-19,Calgary Chess Challenge Grade 2,AB,6,0,5.0,1081,1303,Q
201603091,2016-03-29,Calgary March Madness,AB,17,101768,2.5,1515,1238,R
201604034,2016-04-02,April Fools Jr. Open,AB,9,0,2.0,1126,1281,Q
201604054,2016-04-09,Alberta Chess Challenge 2016 Grd 2,AB,6,154453,5.0,1229,1293,Q
201604100,2016-04-26,April Fools Open,AB,17,101768,1.5,1594,1312,R
201605021,2016-04-30,Calgary School Championship Div 2,AB,26,0,4.0,1197,1297,Q
201605039,2016-05-07,Calgary May Jr Intermediate,AB,12,0,3.5,1136,1301,Q
201606009,2016-05-31,2016 May Flowers,AB,14,101768,2.0,1396,1337,R
201606022,2016-06-05,9th Calgary International Qualifier,AB,21,0,1.0,1340,1322,R
201606047,2016-06-11,CJCC Club Championship-Open,AB,11,0,1.0,954,1244,Q
201607004,2016-06-26,11th Edmonton International Open,AB,21,109502,0.5,1520,1320,R
201607015,2016-06-28,Calgary June Tuesdays,AB,15,101768,1.0,1281,1310,R
201607025,2016-07-08,CYCC 2016 U8 Open,ON,34,102868,5.0,1194,1309,R
201609011,2016-09-03,CJCC Back2School Open,AB,10,0,5.0,1563,1389,Q
201609037,2016-09-27,Calgary Sept tuesdays,AB,17,101768,2.0,1775,1440,R
201610018,2016-10-01,CJCC Thanksgiving-Open,AB,15,0,3.0,1240,1364,Q
201610029,2016-10-10,2016 Alberta Open,AB,39,135072,2.0,1441,1432,R
201610039,2016-09-25,22nd Annual Medicine Hat Open,AB,16,100070,2.0,1513,1467,R
201611018,2016-10-23,Calgary Jr Regional Open,AB,12,135072,2.0,1478,1467,R
201611044,2016-10-25,Thanksgiving Open 2016,AB,14,157753,1.0,1337,1447,R
201611057,2016-11-20,Alberta Jr Championships Open,AB,10,156393,4.0,1735,1573,R
201612001,2016-12-04,Southern Alberta Open,AB,33,101768,2.5,1727,1617,R
201701017,2017-01-08,John Schleinich Memorial G,AB,6,101768,4.5,1597,1655,R
201702022,2017-01-28,CJCC Youth Championship U8,AB,5,147647,4.0,897,1490,Q
201702030,2016-12-10,CJCC 2016 Christmas   Open,AB,8,160509,3.5,1340,1476,Q
201702034,2017-01-22,CJCC 2017 January School Open,AB,4,145882,5.0,1367,1472,Q
201702039,2017-02-04,CJCC - 2017 Valentines  Open,AB,6,160509,5.0,1444,1485,Q
201703023,2017-02-26,2017 AYCC - Under 8,AB,8,158037,5.0,1403,1681,R
201703040,2017-03-12,March of Kings,AB,27,101768,1.5,1493,1645,R
201703084,2017-03-19,Calgary Chess Challenge Grade 3,AB,20,135072,5.0,1213,1490,Q
201704030,2017-04-01,CJCC Open,AB,9,152905,4.5,1449,1518,Q
201704051,2017-04-08,Alberta Chess Challenge Grade 3,AB,5,0,4.0,1409,1543,Q
201704065,2017-04-16,Alberta Reserves Open,AB,12,0,3.0,1702,1657,R
201704102,2017-04-25,April Fools Open,AB,12,0,0.5,0,1657,R
201705008,2017-04-30,2017 Edmonton Int Qualifier,AB,43,155325,2.5,1897,1747,R
201705065,2017-05-06,CJCC Spring Fling Open,AB,10,147647,3.5,1311,1515,Q
201705067,2017-05-04,2017 Red Deer Open,AB,12,154453,2.5,1667,1727,R
201705084,2017-04-23,April Chess School Open,AB,7,145882,4.5,1282,1494,Q
201705113,2017-03-25,2017 Alberta Active Championship,AB,32,154453,2.5,1526,1492,Q
201706008,2017-05-30,May Flower Open,AB,20,157753,2.0,1590,1711,R
201706026,2017-05-28,Calgary School Championship Div 1,AB,29,135072,5.0,1148,1495,Q
201707026,2017-07-10,2017 CYCC U8 Open,ON,29,101770,6.0,1313,1684,R
201708027,2017-08-07,10th Calgary International,AB,34,135072,4.0,1983,1834,R
201708057,2017-08-29,August Open,AB,17,0,1.0,1696,1835,R
201709028,2017-09-17,Calgary Junior Open,AB,14,0,3.0,1606,1808,R
201710019,2017-10-09,Alberta Open,AB,44,148100,3.5,1905,1827,R
201710049,2017-10-22,Steinitz Menchik Classic Open,AB,15,102345,1.5,1493,1767,R
201711051,2017-11-12,Banff Open 2017,AB,41,101737,3.5,1987,1832,R
201711068,2017-11-19,2017 AB Junior-Championship,AB,6,0,2.0,1734,1811,R
201711101,2017-11-26,2017 Southern Alberta Open,AB,37,101768,3.0,1925,1826,R
201712064,2017-12-17,WBX Team Tournament 2017,AB,34,140705,1.0,1716,1803,R
201801028,2018-01-07,John Schleinich Memorial C,AB,6,0,3.5,1847,1811,R
201801065,2018-01-20,Calgary Youth U10,AB,17,0,5.0,1131,1497,Q
201802057,2018-02-11,Northern Alberta Open,AB,39,148100,3.0,1795,1818,R
201803001,2018-02-25,AYCC U10,AB,17,135072,5.0,1575,1834,R
201803066,2018-03-11,SteinitzMenchik Chess Classic,AB,32,102345,2.0,1819,1825,R
201803086,2018-03-18,March Chess School Open,AB,12,149964,3.0,1669,1537,Q
201804016,2018-04-02,Grand Pacific Open Premier,BC,43,104186,3.0,2123,1971,R
201804026,2018-03-24,Alberta Chess Challenge Grade 4,AB,10,158037,4.0,1466,1566,Q
201804081,2018-04-14,Alberta Active Championship,AB,28,154453,2.5,1932,1664,Q
201805001,2018-03-12,2018 Calgary Chess Grand Prix Leg 2,AB,22,102345,3.5,2048,2006,R
201805002,2018-04-17,2018 Grand Prix Leg 3,AB,26,102345,2.5,1780,1976,R
201805027,2018-04-22,2018 April Sunday Chess Open,AB,9,149964,2.0,1206,1613,Q
201805042,2018-05-06,Edmonton International Qualifier,AB,25,156939,2.5,2028,1991,R
201805106,2018-05-22,2018 Grand Prix Leg 4,AB,17,102345,5.0,2322,2147,R
201806032,2018-06-10,Calgary Intl Qual Fund,AB,32,152905,2.5,1845,2101,R
201807005,2018-06-26,2018 Calgary Club Championship,AB,22,102345,3.0,1830,2070,R
201807017,2018-07-05,2018 CYCC U10 Open,QC,72,160222,5.0,1763,2041,R
201807030,2018-04-28,Calgary School Championship Div 3,AB,25,149964,3.0,1162,1567,Q
201808011,2018-07-31,Bobby Fischer Memorial 2018,AB,20,148922,4.0,2074,2092,R
201808026,2018-08-06,2018 Semiahmoo Open Premier,BC,19,163200,2.5,1962,2061,R
201808054,2018-08-19,11th Calgary International,AB,27,0,4.5,2152,2091,R
201808068,2018-08-28,Eric Hansen Chess Classic,AB,17,148922,4.5,2293,2158,R
201809008,2018-09-02,Alberta Over 1800,AB,20,107595,3.0,2130,2155,R
201809019,2018-09-08,2018 Battle of Alberta,AB,24,0,0.0,1839,2131,R
201810004,2018-09-29,2018 Junior Battle of Alberta,AB,24,149964,1.0,1931,2114,R
201810043,2018-10-08,2018 Alberta Open,AB,65,102345,4.0,2066,2114,R
201810044,2018-10-09,Calgary Grand Tour Leg 1,AB,23,148922,3.5,1979,2093,R
201810097,2018-10-28,Edmonton Fall Sectional A,AB,6,109502,1.5,2100,2095,R
