eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
200510109,2005-10-10,Alberta Open 2005,AB,58,0,1.0,1116,1118
200511068,2005-10-30,ECC Halloween Sectional F,AB,6,0,1.0,943,1044
200512039,2005-11-24,ECC Dance o Power,AB,31,0,0.0,1053,1045
200606053,2006-06-25,June Sectional F,AB,6,109502,4.0,1531,1192
200608041,2006-07-31,ECC Frank Anderson Memorial,AB,20,109502,2.5,1502,1255
200609010,2006-08-31,Armouries Memorial,AB,26,109502,3.0,1537,1341
200609036,2006-09-03,ACA Under 1800 Open,AB,14,109502,3.0,1718,1453
200612045,2006-11-30,ECC Dance O Power,AB,31,109502,2.0,1275,1424
200701054,2006-12-17,Weekend Before Xmas Team Tournament,AB,41,135072,2.0,1662,1481
200703047,2007-02-18,2007 Northern Alberta Open,AB,53,104433,2.5,1796,1551
200703049,2007-02-22,2007 Edmonton Reserves,AB,32,109502,6.0,1963,1765
200703074,2007-02-25,2007 AYCC U10,AB,4,100909,6.0,1655,1779
200706052,2007-05-31,ECC Hollowach Challenge,AB,14,109502,0.0,1829,1777
200706148,2007-07-06,2007 CYCC U10 Boys,ON,34,100944,5.0,1699,1772
200803002,2008-02-17,Northern Alberta Open,AB,48,109502,3.0,1843,1784
200803062,2008-02-24,AYCC 2008 Under 10,AB,3,131213,4.0,1694,1792
200805004,2008-04-27,ECC U2200 Qualifier,AB,21,146587,3.0,1919,1814
200806013,2008-05-29,ECC Holowach Memorial,AB,12,109502,3.5,2002,1864
200806023,2008-05-31,Edmonton U2000,AB,24,109502,0.5,1646,1846
200807007,2008-06-26,ECC Summer Open,AB,24,109502,3.0,2042,1886
200807038,2008-07-17,CJCE CYCC Boys Garcons U10,QC,28,128388,5.5,1717,1861
200808004,2008-07-31,ECC Edmonton Open,AB,28,109502,1.5,1603,1830
200809003,2008-08-28,ECC Ottosen Open,AB,28,109502,2.5,1965,1860
200809014,2008-08-31,Over 1800,AB,15,121625,2.0,1864,1866
200810017,2008-09-25,ECC Back to School Open,AB,30,109502,1.5,1898,1871
200811063,2008-10-30,ECC Halloween Open,AB,31,109502,3.0,1937,1893
200811064,2008-11-02,Alberta Junior Championship 2008,AB,15,131213,4.5,2093,1941
200812002,2008-11-27,ECC Obama Open,AB,24,109502,2.0,1925,1943
200812084,2008-12-14,2008 WBX Team Tournament,AB,36,135072,4.0,2037,1977
200901015,2008-12-30,ECC Christmas Open,AB,24,109502,3.0,2095,2005
200903008,2009-02-26,Edmonton Championship 2009,AB,16,140705,2.5,2156,2036
200903010,2009-02-27,Edmonton Reserves,AB,33,109502,3.5,1695,1994
200903025,2009-03-01,Northern Alberta Open,AB,57,109502,3.0,1964,2008
200904008,2009-03-08,Alberta Youth Chess Champ 2009 U12,AB,7,131213,4.5,1598,1998
