eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
200312049,2003-12-21,16th Carlos Torre Mem Magistral,FO,10,0,1.0,2653,2431
201107027,2011-07-17,48th Canadian Open Ch 2011,ON,152,100234,6.5,2636,2480
201307035,2013-07-20,2013 Canadian Open,ON,178,110490,6.5,2365,2466
201307044,2013-07-28,2013 Quebec Open - Invitational,QC,55,126146,5.5,2503,2473
201408003,2014-07-26,Canadian Open - 2400+,QC,43,106007,4.0,2325,2447
201609015,2016-09-11,Championnat Ouvert de Montréal 2016,QC,56,131928,3.5,2453,2448
201708043,2017-08-19,Quebec Open Section A,QC,41,148369,6.5,2457,2455
201710048,2017-10-08,2017 Varennes Open,QC,59,142188,4.0,2533,2464
201810026,2018-10-07,2018 Varennes Open,QC,41,142188,2.5,2118,2436
201907057,2019-07-27,Championnat Ouvert du Québec A,QC,51,106007,6.0,2405,2432
201910068,2019-10-13,Canadian International Open O2100,QC,55,0,3.5,2308,2422
202206032,2022-06-12,Eastern Ontario GM norm,ON,10,106856,3.0,2355,2411
202207039,2022-07-17,2022 Canadian Open,ON,251,111830,6.5,2456,2426
202209047,2022-09-06,Quebec Open 2022 Section A,QC,46,106007,6.0,2291,2411
202305108,2023-05-22,2023 Ontario Open,ON,32,106856,4.5,2477,2419
202308021,2023-08-04,2023 Quebec Open Section A,QC,42,106007,5.5,2267,2401
