eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost,rating_type
199609049,1996-07-28,Scarborough Sum RR 1,ON,8,0,4.5,2209,2160,R
199609080,1996-08-11,NBIO Open Section,ON,79,103427,3.5,2103,2139,R
199609103,1996-09-02,1996 Macedonian Open,ON,42,106342,3.0,2213,2157,R
199610088,1996-10-14,TO Thanksgiving Open,ON,50,100902,3.5,2379,2205,R
199702036,1997-02-02,Canadian Under 14,ON,10,0,3.0,2095,2193,R
199703099,1997-03-14,Canadian Cadet,BC,10,100205,6.5,2311,2243,R
199704022,1997-03-23,Scarborough W RR 1,ON,8,0,6.0,2411,2300,R
199705070,1997-05-05,Peter Vanderwel Open,ON,26,100991,3.0,2317,2302,R
199705093,1997-05-19,Toronto International Open,ON,45,100902,3.0,2336,2305,R
199708038,1997-08-10,NBIO Open,ON,59,120817,4.0,2279,2300,R
199710043,1997-10-04,Toronto Open Active,ON,33,100902,4.5,2136,2036,Q
199711035,1997-10-26,Keres Memorial Active Master,ON,21,0,1.5,1965,2025,Q
199712002,1997-11-09,Remembrance Day Open,ON,11,0,3.0,2399,2310,R
199802057,1998-02-01,Canadian Youth Under 14,QC,10,0,4.5,2129,2310,R
199802072,1998-02-11,Toronto Closed Champ Premier,ON,12,0,5.5,2374,2323,R
199804012,1998-03-27,Canadian Cadet,SK,10,104172,6.0,2168,2306,R
199805100,1998-04-26,1998 Mississauga Active,ON,46,0,4.0,2099,2043,Q
199806007,1998-05-18,Toronto International Open,ON,54,0,1.5,2049,2275,R
199806055,1998-06-14,Eastern Ontario Open,ON,74,0,4.0,2560,2317,R
199808031,1998-08-09,FCGIO Open,ON,65,0,5.5,2424,2336,R
199809041,1998-09-07,Macedonian Open,ON,73,106342,2.5,2156,2322,R
199901027,1998-12-13,Scarb CC XMas Active,ON,57,0,4.0,2205,2089,Q
199902054,1999-02-16,Toronto Closed,ON,10,0,7.0,2464,2347,R
199904029,1999-04-04,1999 Toronto Open,ON,53,0,4.0,2354,2347,R
199906004,1999-05-01,TSS Team Chess Champ,ON,30,0,4.0,2061,2348,R
199906015,1999-05-08,CYCC Ontario Prov Champ U16,ON,12,0,4.5,2265,2352,R
199906110,1999-06-20,1999 Fathers Day Open,ON,43,100942,2.0,2239,2343,R
199906115,1999-04-30,Scarborough April Active,ON,28,0,3.0,2067,2079,Q
199906122,1999-06-26,Scarborough June Active,ON,27,0,5.0,2441,2161,Q
199907014,1999-07-02,CYCC National Finals U16,BC,15,0,3.5,2062,2336,R
199908047,1999-08-08,99 FCGIO Open,ON,67,0,4.5,2242,2319,R
199908066,1999-08-22,1999 August Summer Open,ON,27,100942,3.5,2402,2327,R
199909001,1999-08-01,Quebec Open 1999,QC,75,0,5.5,2421,2345,R
199909031,1999-09-09,1999 Canadian Closed,ON,26,104137,4.5,2343,2345,R
199910055,1999-10-17,1999 October Fall Open,ON,26,100942,2.0,2030,2321,R
200001002,1999-11-27,Mtl Elite vs Central Canada Youth,QC,8,0,3.0,2703,2352,R
200001030,1999-12-28,Pan Am Scholastic,ON,61,110210,5.5,2149,2354,R
200003049,2000-03-08,Toronto Closed Champ 2000,ON,12,100942,7.5,2367,2355,R
200005019,2000-04-23,2000 Toronto Open Chess Champ,ON,46,0,3.5,2232,2345,R
200005065,2000-05-14,Ontario High School Champion,ON,40,0,4.0,2164,2338,R
200006042,2000-05-07,Canadian Junior,QC,36,0,5.5,2198,2330,R
200007038,2000-07-15,Scarborough July Active,ON,16,0,5.5,2401,2209,Q
200008019,2000-08-07,2000 Simcoe Day Open,ON,14,0,4.5,2472,2347,R
200008034,2000-08-20,Toronto Summer International Open,ON,60,100942,5.0,2432,2362,R
200101086,2001-01-06,DCC New Year Saturday Active Open,ON,12,0,2.5,2209,2209,Q
200105043,2001-04-28,TSSCL Team Chess Championship,ON,25,0,4.5,2271,2370,R
200105113,2001-05-13,Ontario High School 2001 Champion,ON,44,0,4.5,2233,2374,R
200108023,2001-08-06,DCC 2001 Simcoe Day Champs Open,ON,16,0,4.5,2509,2385,R
200109005,2001-08-29,Canadian Closed  Zonal 2001,QC,31,0,5.0,2407,2388,R
200109089,2001-08-31,ICC August Active,ON,45,0,3.5,2046,2199,Q
200111032,2001-11-11,DCC Toronto Remembrance Day Open,ON,25,0,3.5,2471,2393,R
200111091,2001-11-18,Ontario Junior Bursary,ON,12,0,2.5,2240,2384,R
200201031,2002-01-06,Canadian Junior Chess Championship,MB,24,0,6.5,2394,2391,R
200204047,2002-04-01,2002 Canadian Closed,BC,36,0,7.5,2536,2422,R
200204086,2002-04-06,TSSCL Senior Team Championship,ON,41,0,3.0,2005,2412,R
200205058,2002-05-12,Ontario High School Championship,ON,27,0,4.0,2210,2404,R
200208036,2002-08-11,Guelph Pro Am International Open,ON,49,0,6.0,2574,2435,R
200208046,2002-08-17,DCC Saturday Active Open,ON,32,0,5.5,2451,2234,Q
200210167,2002-10-19,KW Game in 1 Championship Open,ON,10,0,1.0,1977,2412,R
200302004,2003-01-11,ON InterUniversity Team Challenge,ON,50,0,4.0,2295,2410,R
200308011,2003-08-01,CMA Futurity IV,ON,10,0,2.5,2303,2389,R
200401017,2004-01-11,2004 Ontario University Ch,ON,37,0,4.0,2494,2399,R
200501098,2005-01-16,2005 Cdn University Championship,ON,52,0,3.0,2390,2399,R
