eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost,rating_type
200211094,2002-11-24,Jack Taylor 2002,BC,18,0,3.5,2088,2309,R
200301048,2003-01-19,MacAdam Memorial,BC,19,0,4.5,2345,2316,R
200405042,2004-04-25,Daffodil Open,BC,17,0,4.0,2194,2311,R
200405122,2004-05-24,Keres Memorial 2004 Open,BC,32,0,4.5,2276,2308,R
200501112,2005-01-23,Dan MacAdam Memorial,BC,24,0,2.5,2050,2297,R
200503117,2005-03-13,Valeria Master RR Victoria,BC,6,0,2.0,2190,2286,R
200512038,2005-11-23,Jack Taylor 2005,BC,10,0,3.5,2352,2296,R
200711132,2007-11-25,Jack Taylor Memorial 2007,BC,20,100205,4.5,2302,2310,R
200810117,2008-10-26,Valaria Gansvind Training Games,BC,3,103043,4.0,2393,2328,R
200904051,2009-04-13,2009 Grand Pacific Open -3rd Annual,BC,62,100317,5.0,2380,2351,R
200905094,2009-05-18,2009 Keres Memorial Open,BC,32,145502,3.5,2176,2332,R
201004011,2010-04-04,4th Annual Grand Pacific Open Ch,BC,73,129909,4.0,2179,2321,R
201010016,2010-10-11,2010 BC Closed Ch,BC,8,103043,4.5,2303,2318,R
201104069,2011-04-25,5th Annual Grand Pacific Open,BC,86,129909,4.0,2178,2308,R
201110013,2011-10-10,2011 British Columbia Closed Ch,BC,8,108715,4.0,2317,2309,R
201601045,2016-01-17,2016 Victoria Championship Schev,BC,10,104186,1.5,2115,2289,R
201602019,2016-02-08,2016 BC Open Premier,BC,30,103043,3.5,2171,2276,R
201603087,2016-03-28,10th Grand Pacific Open Premier,BC,52,103043,3.5,1997,2258,R
201610026,2016-10-09,BC Women's Championship,BC,5,108715,4.0,1604,2258,R
201611061,2016-11-20,Jack Taylor Memorial Premier,BC,27,103043,3.5,2112,2251,R
201701043,2017-01-15,Victoria-Vancouver,BC,10,104186,3.5,2281,2254,R
201704070,2017-04-17,11th Grand Pacific Open Premier,BC,33,103043,3.0,1984,2224,R
201706065,2017-06-18,BC Senior,BC,30,104186,4.5,2243,2232,R
201710016,2017-10-09,2017 BC Closed,BC,8,103043,1.0,1961,2188,R
201711072,2017-11-19,Jack Taylor Memorial Premier,BC,38,103043,4.0,2156,2190,R
201801047,2018-01-14,Victoria Open RR Invitational,BC,6,104186,2.0,2030,2157,R
201804016,2018-04-02,Grand Pacific Open Premier,BC,43,104186,4.0,2195,2170,R
201810094,2018-10-28,2018 Jack Taylor Memorial Premier,BC,42,103043,3.0,1828,2131,R
201901053,2019-01-20,2019 Victoria Open Premier,BC,41,104186,3.5,2026,2119,R
201904097,2019-04-22,GPO 2019 Premier,BC,49,127485,4.0,2148,2123,R
202001033,2020-01-19,2020 BC vs Washington Match,BC,20,104186,3.5,2296,2171,R
202308069,2023-08-20,Lynn Stringer Memorial Premier,BC,33,104186,3.5,2115,2167,R
