eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
200210061,2002-09-22,RA Fall Open,ON,61,0,4.0,2352,2352
200210200,2002-10-27,National Capital Open,ON,21,0,4.5,2537,2445
200212019,2002-11-28,RA Autumn Frost A,ON,6,0,3.5,2391,2427
200303130,2003-03-23,RA Spring Open,ON,54,0,4.0,2177,2365
200304098,2003-04-13,McIntosh April Open,ON,24,0,3.0,2102,2345
200305064,2003-05-04,Arnprior Open,ON,27,0,3.5,2199,2336
200306052,2003-06-08,Eastern Ontario Open,ON,33,0,3.0,2289,2332
200307076,2003-07-17,RA Pick Up 2,ON,46,0,2.0,2196,2318
