eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
199703001,1996-11-24,KW Fall Open,ON,21,0,3.0,2176,2214
199712032,1997-11-16,Interuniversity Teams,ON,33,0,4.5,2228,2229
199803016,1998-02-22,KW Winter Open Open,ON,21,0,3.0,2233,2230
199806012,1998-05-18,Toronto International U2300,ON,38,0,4.0,2176,2215
199809041,1998-09-07,Macedonian Open,ON,73,106342,3.0,2152,2200
199812039,1998-11-22,K W Fall Open,ON,15,0,3.5,2282,2209
200009023,2000-09-04,Macedonian Labour Day Open,ON,32,0,0.5,1876,2195
200605075,2006-03-19,March Open 2006,ON,51,128173,3.5,2023,2183
200605090,2006-04-17,Toronto Open,ON,39,128173,4.0,2224,2194
200607022,2006-06-29,BGC 96,ON,4,128173,2.5,2130,2179
200610046,2006-10-09,2006 Toronto Thanksgiving U2200,ON,10,100905,5.0,2225,2193
201107027,2011-07-17,48th Canadian Open Ch 2011,ON,152,100234,4.5,2119,2180
201109009,2011-09-05,2011 Toronto Labour Day Open,ON,45,106974,3.5,2187,2183
201110018,2011-10-10,2011 Toronto Thanksgiving Open,ON,35,151471,1.5,2025,2158
201301004,2013-01-06,2013 Hart House Winter Open,ON,40,127516,2.0,2137,2154
201303017,2013-03-10,2013 KW Riedstra Memorial,ON,25,103023,2.0,2139,2144
201309007,2013-09-02,2013 Toronto Labour Day Open,ON,19,106342,3.5,2354,2214
201311025,2013-11-03,2013 Guelph Fall ProAm - Pro,ON,21,111830,0.5,1977,2200
201312008,2013-12-10,2013 KWCC Ch,ON,24,106868,4.0,1972,2184
201403019,2014-03-11,2014 KWCC March Regular,ON,20,106868,3.0,2043,2179
