eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost,rating_type
200205056,2002-05-11,DCC March into April   2,ON,17,0,4.0,2229,2229,R
200205063,2002-05-04,DCC May Day Saturday Active,ON,38,0,2.0,1888,1888,Q
200205095,2002-05-15,DCC Mayflower 3,ON,37,0,1.0,1521,1946,R
200205107,2002-05-20,DCC Victoria Day 2002 Open,ON,21,0,3.5,2108,2034,R
200207059,2002-07-06,DCC Summer Sizzler Active 27,ON,30,0,3.5,2020,1954,Q
200207063,2002-07-20,DCC Spring into Summer 3,ON,18,0,3.5,1865,1981,R
200210143,2002-10-14,DCC 2002 Toronto Thanksgiving U2100,ON,25,0,4.0,1993,1984,R
200211019,2002-11-02,DCC Autumn Saturday Afternoon Swiss,ON,14,0,4.0,2105,2004,R
200212078,2002-12-18,DCC End of Fall Wed Swiss,ON,36,0,3.5,2116,2016,R
200212084,2002-12-21,DCC Poppy Open 3,ON,12,0,3.0,1990,2014,R
200212093,2002-12-21,DCC December Active 32 Open,ON,25,0,1.5,1722,1877,Q
200301011,2003-01-03,PanAm Youth Qualifier U14,QC,12,0,3.5,1870,2009,R
200302019,2003-01-23,SCC Sunday Winter Swiss,ON,13,0,1.5,1635,1994,R
200307068,2003-07-10,CYCC National Ch Under 14,ON,27,0,4.5,1820,1969,R
200308020,2003-08-10,2003 Guelph ProAm Int Futurity,ON,28,0,4.0,1919,1950,R
200309025,2003-09-01,Labour Day Macedonian Open,ON,37,0,2.5,2094,1984,R
200310088,2003-10-13,BGC 2003 Thanksgiving Open,ON,21,0,5.0,2279,2057,R
200311030,2003-11-10,BGC Round Robin 16,ON,6,0,4.0,2168,2077,R
200312052,2003-12-29,BGC Holiday Open,ON,42,0,3.0,1823,2030,R
200404015,2004-04-01,2004 Toronto Closed Ch Reserves A,ON,11,0,7.0,2205,2100,R
200405058,2004-05-09,2004 May Open  OPEN,ON,15,0,3.0,2172,2115,R
200406053,2004-06-13,Todd Southam Memorial  Active,ON,13,0,1.5,2181,1953,Q
200408005,2004-07-10,CYCC National Ch Boys U16,ON,16,0,5.0,2004,2103,R
200408012,2004-07-18,2004 Canadian Open Championships,ON,124,0,6.0,2074,2116,R
200408027,2004-08-02,Guelph ProAm International  Extra,ON,11,0,0.0,0,2116,R
200408030,2004-08-02,Guelph ProAm International 2004,ON,30,0,3.5,2098,2112,R
200409016,2004-09-06,Macedonian Labour Day  Open,ON,26,0,3.0,2176,2126,R
200409031,2004-08-29,Canadian Closed 2004,ON,69,0,4.0,2216,2161,R
200409068,2004-09-21,BGC  No 50,ON,6,0,4.0,2401,2205,R
200412061,2004-11-21,Toronto Fall Open,ON,6,0,1.0,1999,2182,R
200503002,2005-01-16,BGC 61 Sunday Masters,ON,5,0,2.5,2300,2201,R
200503033,2005-02-27,Toronto Closed 2005,ON,8,0,3.0,2112,2176,R
200503132,2005-03-13,Toronto March Class Champ Open,ON,14,0,3.0,2125,2165,R
200507013,2005-06-19,BGC 69,ON,5,0,2.5,2023,2120,R
200507066,2005-07-17,2005 Canadian Open,AB,222,0,6.0,2211,2164,R
200508026,2005-08-01,Guelph ProAm 2005,ON,35,0,4.0,2249,2194,R
200509033,2005-09-05,Toronto Macedonian Labour Day Open,ON,29,0,3.0,2244,2203,R
200605032,2006-04-21,TSSCL Team Championship 2006 Senior,ON,50,108098,4.0,1902,2206,R
200605075,2006-03-19,March Open 2006,ON,51,128173,3.5,2220,2211,R
200606025,2006-05-28,GTCL League and Cup 2006,ON,64,144299,6.0,2210,2219,R
200606054,2006-06-25,York Region Open 2006,ON,11,101072,1.5,2018,2198,R
200608020,2006-07-23,2006 Canadian Open Open Section,ON,91,111830,5.0,2326,2224,R
200609008,2006-08-27,2006 Canadian Closed and Zonal,ON,65,100317,5.5,2440,2264,R
200612051,2006-12-03,2006 Toronto Junior Championship,ON,8,100905,6.5,2218,2267,R
200705017,2007-04-20,2007 TSSCL Team Championship SR,ON,60,108098,4.0,1944,2335,R
200801035,2008-01-13,2008 Canadian University Champ  A,ON,33,111830,3.5,2404,2342,R
200807021,2008-06-29,2008 Toronto Canada Day Open,ON,41,106974,4.0,2477,2355,R
200807029,2008-05-30,CMA Spring Masters,ON,6,127769,2.5,2420,2362,R
200809012,2008-09-01,Toronto Labour Day Open,ON,42,106974,4.5,2395,2378,R
200901009,2008-12-21,2008 Hart House Holidays Open,ON,37,106974,3.0,2216,2372,R
200902105,2009-02-22,Hart House Reading Week Open,ON,38,106974,4.0,2310,2375,R
200904028,2009-03-31,Toronto Closed Championship,ON,10,134840,5.0,2258,2358,R
200904068,2009-04-19,PWC Toronto Open,ON,83,101805,3.5,2333,2358,R
200905098,2009-05-18,Calgary International Chess Classic,AB,20,104137,2.5,2119,2320,R
200909013,2009-09-07,2009 Toronto Labour Day Open,ON,35,106974,3.5,2285,2318,R
200910021,2009-10-12,2009 Toronto Thanksgiving Open,ON,26,106974,3.5,2366,2328,R
201412058,2014-12-21,Hart House Holidays Open Crown,ON,22,156644,2.0,2209,2318,R
201506065,2015-06-21,Toronto Blitz Championship 2015,ON,31,0,7.0,2234,2306,Q
201612041,2016-12-18,2016 Holidays Open - Crown,ON,23,127516,2.5,2251,2312,R
201703045,2017-03-14,Greater Toronto Chess League 2017,ON,61,105861,4.0,2347,2317,R
