eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost,rating_type
200210211,2002-10-26,DCC Saturday Halloween Active 30,ON,32,0,4.5,2199,2199,Q
200212093,2002-12-21,DCC December Active 32 Open,ON,25,0,5.0,2470,2335,Q
200303096,2003-03-09,2003 Toronto Class Ch Masters 2,ON,6,0,3.0,2370,2370,R
200304026,2003-03-28,2003 Toronto Closed Ch,ON,12,0,7.0,2185,2243,R
200306026,2003-05-30,George Kuprejanov Memorial,ON,10,0,8.0,2245,2248,R
200404018,2004-04-01,2004 Toronto Closed Ch,ON,12,0,3.5,2133,2223,R
200406007,2004-05-04,GTCL League and Cup 2004,ON,20,0,3.5,2334,2235,R
200407089,2004-07-01,Toronto Active,ON,21,0,4.5,2259,2313,Q
200408041,2004-08-01,BGC Summer Masters,ON,8,0,5.5,2351,2257,R
200409031,2004-08-29,Canadian Closed 2004,ON,69,0,5.0,2287,2263,R
200506067,2005-05-17,GTCL 2004 2005 Cup,ON,30,0,3.0,2232,2268,R
200506068,2005-05-31,GTCL 2004 2005 League,ON,44,0,7.0,2293,2280,R
200601034,2005-12-30,Holidays Open,ON,31,128173,3.5,2116,2267,R
200603077,2006-03-05,Toronto Closed 2006 Premier Section,ON,8,128173,4.0,2376,2283,R
200606025,2006-05-28,GTCL League and Cup 2006,ON,64,144299,6.0,2397,2297,R
200608020,2006-07-23,2006 Canadian Open Open Section,ON,91,111830,5.5,2317,2303,R
200608045,2006-07-29,York Region July Active Premier Sec,ON,6,101072,4.0,2310,2312,Q
200701055,2006-12-30,2006 Holidays Open,ON,49,128173,4.5,2228,2333,R
200703051,2007-03-04,2007 Toronto Closed,ON,8,128173,5.0,2378,2338,R
200706104,2007-05-24,2007 Greater Toronto Chess League,ON,60,100905,4.0,2391,2345,R
200706126,2007-05-29,GTCL Active,ON,8,100905,3.0,2098,2303,Q
200706184,2007-07-15,2007 Canadian Open,ON,280,100944,6.5,2197,2323,R
200706210,2007-08-01,2007 Canadian Closed,ON,30,111830,5.5,2451,2347,R
200706222,2007-07-21,York Region July Active Open,ON,11,101072,3.5,2218,2298,Q
200706226,2007-08-18,York Region August Active Open,ON,6,101072,4.0,2191,2294,Q
200801016,2007-12-30,Holidays Open,ON,45,128173,4.0,2364,2351,R
200804062,2008-04-09,2008 Toronto Closed Championship,ON,10,109412,6.0,2390,2357,R
200806036,2008-05-31,GTCL Teams Regular Tournament 2008,ON,57,125681,2.0,2252,2348,R
200806045,2008-06-03,GTCL Active Cup 2008,ON,12,125681,3.0,2109,2286,Q
200807029,2008-05-30,CMA Spring Masters,ON,6,127769,3.0,2501,2364,R
200807059,2008-07-27,Canadian Open 2008 Section B,QC,53,106007,5.5,2234,2344,R
200904028,2009-03-31,Toronto Closed Championship,ON,10,134840,7.0,2439,2374,R
200904068,2009-04-19,PWC Toronto Open,ON,83,101805,3.0,2240,2364,R
200905077,2009-05-12,2009 GTCL Premier League,ON,10,147050,2.0,2660,2377,R
200905097,2009-05-18,2009 Ontario Open,ON,68,107391,2.5,2184,2357,R
200906078,2009-06-02,2009 GTCL Cup Active,ON,10,147050,3.5,2244,2291,Q
200907018,2009-07-19,2009 Canadian Open,AB,203,135072,6.5,2367,2368,R
201004039,2010-04-13,2010 Toronto Closed Ch,ON,10,134840,5.5,2337,2366,R
201004071,2010-04-27,2010 GTCL Premier League,ON,10,147050,2.0,2567,2375,R
201007034,2010-07-19,2010 Canadian Open,ON,265,111830,5.0,1983,2340,R
201104010,2011-04-03,2011 Toronto Closed Ch,ON,8,145968,3.0,2256,2328,R
201105030,2011-05-11,2011 Canadian Zonal Ch,ON,29,111830,3.0,2013,2277,R
201106045,2011-06-18,2011 KWCC Teams Active,ON,74,106868,5.0,2182,2297,Q
201107027,2011-07-17,48th Canadian Open Ch 2011,ON,152,100234,5.5,2199,2266,R
201201038,2012-01-23,GTCL Premier League,ON,23,120619,1.0,2208,2262,R
201203031,2012-03-20,2012 Willowdale CC Ch,ON,6,134840,3.0,2310,2266,R
201206005,2012-06-04,2012 Toronto Closed Ch,ON,10,127516,4.0,2325,2275,R
201206049,2012-06-16,2012 KWCC Quick Teams Ch,ON,53,106868,4.0,2226,2296,Q
201206060,2012-06-25,2012 GTCL Rapid Teams,ON,50,102713,3.0,2045,2278,Q
201207023,2012-07-13,2012 Canadian Open Ch,BC,78,103043,5.5,2241,2268,R
201210045,2012-10-13,2012 Oktoberfest Quick Open,ON,27,106868,3.0,2117,2265,Q
201302030,2013-02-19,2013 Greater Toronto Chess League,ON,44,145968,4.0,2247,2265,R
201304004,2013-04-02,2013 Willowdale CC Ch,ON,6,134840,5.0,2474,2294,R
201304045,2013-04-08,2013 GTCL Teams Rapid Cup,ON,66,102713,3.0,2313,2274,Q
201306015,2013-06-03,2013 Toronto Closed,ON,8,127516,3.5,2292,2294,R
201311091,2013-11-26,2013 Toronto Senior Ch,ON,7,128107,6.0,1951,2297,R
201402020,2014-02-11,2014 GTCL,ON,38,109412,2.0,2068,2275,R
201405026,2014-05-13,2014 Toronto Closed,ON,8,135360,2.0,2166,2260,R
201406009,2014-05-26,2014 GTCL Cup,ON,71,135360,3.5,2263,2273,Q
201408014,2014-08-04,2014 Canadian Senior 50 Open,ON,16,127489,4.0,2209,2256,R
201503009,2015-03-03,GTCL League 2015,ON,44,127516,5.0,2322,2267,R
201505036,2015-05-12,2015 Willowdale Chess Club Champion,ON,7,155224,5.0,2390,2281,R
201506007,2015-06-01,Toronto Closed 2015,ON,8,0,4.0,2453,2306,R
201506047,2015-06-08,GTCL Cup 2015,ON,67,0,1.5,2082,2254,Q
201506065,2015-06-21,Toronto Blitz Championship 2015,ON,31,0,8.5,2178,2260,Q
201507052,2015-07-16,2015 Canadian Closed,ON,44,111830,5.0,2359,2316,R
201508014,2015-08-03,2015 Canadian Seniors 50plus,ON,13,127489,6.5,2414,2340,R
201512012,2015-12-01,2015 Toronto Senior Championship,ON,6,109412,5.0,2376,2351,R
201512034,2015-12-05,Toronto Rapid Open,ON,30,138247,3.0,2231,2259,Q
201603013,2016-03-01,Greater Toronto Chess League 2016,ON,38,109412,3.5,2260,2342,R
201606008,2016-05-30,Toronto Closed 2016,ON,8,135360,2.0,2108,2309,R
201606032,2016-06-06,GTCL Cup 2016,ON,48,135360,2.5,2311,2263,Q
201606082,2016-06-26,Toronto Blitz 2016,ON,44,135360,8.5,2011,2235,Q
201607034,2016-07-17,2016 Canadian Open,ON,48,102868,4.5,2192,2289,R
