eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
200703075,2007-02-25,2007 AYCC U12,AB,8,100909,2.0,1418,1418
200706031,2007-05-08,Calgary CC team tourn Board 4 may 8,AB,6,103443,4.0,1523,1475
200706133,2007-06-16,Calgary 2007 Spring Open,AB,16,102424,3.0,1856,1603
200706139,2007-06-24,2007 Calgary June Sectional D,AB,6,105606,2.0,1484,1577
200709018,2007-09-02,OverUnder 1800 Under 1800,AB,13,125775,3.0,1564,1579
200710038,2007-10-09,Fall Class Open,AB,14,123257,2.5,1842,1651
200712069,2007-11-11,Alberta Junior Championship 2007,AB,6,100223,2.5,1815,1666
200712082,2007-12-11,Calgary Open,AB,24,101495,2.5,1659,1662
200801030,2008-01-06,Schleinich Memorial Section C,AB,6,105606,2.5,1875,1720
200803055,2008-03-09,2008 March of Kings tournament,AB,15,102743,1.0,1628,1701
200803060,2008-02-19,Calgary Closed Open Section,AB,15,125775,4.5,1734,1716
200803064,2008-02-24,AYCC 2008 Under 14,AB,4,131213,1.5,1684,1720
200804032,2008-04-01,Calgary Chess Club Championship,AB,17,104137,3.0,1996,1751
200805073,2008-05-13,Canadian Junior 2008,ON,20,127769,3.5,1843,1779
200805114,2008-05-13,Calgary CC Team Tournament Board 3,AB,6,105606,4.5,1928,1811
200807040,2008-07-17,CJCE CYCC Boys Garcons U14,QC,22,128388,3.0,1765,1796
200808001,2008-06-30,CCC Spring Open,AB,16,102743,4.0,2169,1918
200809042,2008-09-20,2008 Battle of Alberta,AB,24,104137,0.5,1876,1917
200810039,2008-10-13,2008 Alberta Open,AB,48,104137,4.0,2079,1968
200811064,2008-11-02,Alberta Junior Championship 2008,AB,15,131213,3.5,1901,1971
200811074,2008-11-16,2008 Southern Alberta Open,AB,34,123257,2.5,1813,1948
200812040,2008-12-07,Calgary Junior Closed 2nd Qualifier,AB,8,144016,2.5,1828,1933
200812061,2008-12-09,Calgary Open,AB,15,141880,3.5,1964,1945
200812084,2008-12-14,2008 WBX Team Tournament,AB,36,135072,1.0,1852,1935
200901018,2009-01-04,2009 Schleinich Memorial Section B,AB,6,105606,3.0,1982,1954
200901049,2009-01-11,Calgary Junior Closed 3rd Qualifier,AB,8,139775,5.0,2140,2017
200901055,2009-01-18,2009 University Battle of Alberta,AB,35,144016,3.0,1962,2036
200903047,2009-03-15,March of Kings,AB,28,104137,2.5,1911,2015
200904009,2009-03-08,Alberta Youth Chess Champ 2009 U14,AB,3,131213,1.0,1858,1999
200907018,2009-07-19,2009 Canadian Open,AB,203,135072,5.0,2022,2026
200907026,2009-07-24,2009 CYCC U14 Open,BC,15,129909,5.5,2284,2114
200907040,2009-07-28,2009 Canadian Junior Ch,BC,12,129909,3.0,2064,2110
200909010,2009-09-06,Over 1800,AB,16,104137,2.5,2045,2101
200911051,2009-11-09,2009 Alberta Jr Closed Ch,AB,6,144016,4.0,1907,2088
201001027,2010-01-17,2010 University Battle of AB Open,AB,47,144016,3.0,1756,2064
201002035,2010-02-14,2010 AYCC Under 16,AB,4,144016,3.0,1739,2070
201005017,2010-05-04,2010 Calgary CC Team TRMT,AB,22,111989,1.0,2027,2068
201006042,2010-06-26,2010 Calgary June FIDE Sectional A,AB,6,144016,3.0,2368,2134
201007022,2010-07-09,2010 CYCC U16 Open,ON,14,107872,4.0,2202,2157
201008039,2010-08-21,2010 Battle of Alberta,AB,24,104137,1.0,2159,2158
201102028,2011-02-13,2011 AYCC U16,AB,6,131213,4.0,1897,2138
201107022,2011-07-09,2011 Canadian Youth Ch U16 Open,ON,23,127489,5.5,2252,2186
201111007,2011-11-06,2011 Alberta Junior Ch,AB,13,144016,4.5,2368,2227
201201009,2012-01-08,2012 Canadian Junior Ch,AB,12,101768,6.5,2518,2285
201202028,2012-02-26,2012 AYCC U18,AB,2,101768,1.0,1578,2285
201208021,2012-08-18,2012 Battle of AB,AB,25,148100,0.5,2225,2283
201303004,2013-03-03,2013 AYCC U18 Ch,AB,8,142946,4.0,1927,2280
201307030,2013-07-12,2013 CYCC - U18,ON,14,106856,5.0,2460,2315
201501010,2015-01-11,CUCC 2015,ON,44,0,2.0,2127,2298
201509021,2015-09-12,20th Battle of Alberta,AB,24,154453,0.5,2099,2290
