eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
200302027,2003-01-25,CMA Training G,ON,4,0,1.0,941,943
200304052,2003-03-29,London CC March U1600,ON,14,0,3.0,1540,1286
200305025,2003-04-19,CYCC ON Provincial Ch U10,ON,30,0,4.0,1228,1268
200306036,2003-05-31,Rains of May London Std,ON,26,0,0.0,1144,1241
200307064,2003-07-10,CYCC National Ch Under 10,ON,23,0,4.5,1386,1289
200310099,2003-10-23,2003 RF Rodgers Memorial U1600,ON,25,0,4.5,1514,1359
200311065,2003-11-27,RA Autumn Frost Pick Up Games,ON,27,0,1.0,1359,1364
200311074,2003-11-27,RA Autumn Frost Section 9,ON,6,0,2.0,1323,1364
200402055,2004-02-19,2004 RA Club Championship,ON,66,0,3.0,1518,1374
200404011,2004-04-01,2004 RA Spring Frost  K,ON,4,0,6.0,1783,1546
200405063,2004-05-09,OYCC Boys U10,ON,33,0,4.0,1264,1527
200405079,2004-04-24,2004 Ottawa CYCC Qualifier,ON,8,0,3.0,1357,1523
200406048,2004-06-10,RA Summer Pickup 1,ON,52,0,4.0,1604,1547
200407084,2004-07-22,RA Pickup 2,ON,57,0,0.0,1020,1504
200408002,2004-07-10,CYCC National Ch Boys U10,ON,18,0,4.5,1426,1489
200409013,2004-08-26,RA Pickup 3,ON,47,0,2.5,1642,1514
200409014,2004-08-29,Renfrew Open,ON,35,0,3.0,1935,1638
200409072,2004-09-26,RA Fall Open Open Section,ON,27,0,2.0,1773,1642
200411027,2004-10-24,National Capital Open   Open,ON,24,0,1.5,1880,1680
200412013,2004-11-01,Ron F Rodgers Memorial 2004,ON,41,0,3.5,2036,1806
200501030,2004-12-12,Blackburn Open 2004,ON,31,0,3.0,1959,1846
200501080,2005-01-09,Ottawa Youth Championship A,ON,6,0,3.0,1788,1843
200501106,2005-01-16,Ottawa RA Winter Open,ON,34,0,2.5,1796,1835
200503009,2005-02-17,2005 RA Club Championship,ON,61,0,4.0,1601,1790
200503102,2005-03-06,RA Spring Open    Open Section,ON,22,0,2.5,2010,1832
200504038,2005-03-27,CYCC 2005 U12 Boys,BC,34,0,5.0,1779,1829
200504056,2005-03-31,2005 RA Spring Thaw  Section 4,ON,4,0,2.5,1956,1849
200505031,2005-05-01,24th Arnprior Open,ON,31,0,3.0,2092,1901
200505125,2005-05-23,Ontario Open,ON,24,0,1.5,1739,1860
200506036,2005-06-02,RA Pick up 1,ON,36,0,2.5,1754,1852
200506050,2005-06-12,Eastern Ontario Open 2005,ON,44,0,3.5,1896,1861
200507065,2005-07-14,RA Pickup 2,ON,40,0,3.0,1904,1869
200509025,2005-08-28,1st Bryon Nickoloff Open,ON,24,0,3.0,2118,1941
200510056,2005-09-25,R A Fall Open,ON,38,0,2.5,2000,1953
200510172,2005-10-20,Ron F Rodgers 2005 Open,ON,38,0,3.0,1959,1956
200511030,2005-10-15,National Capital Open,ON,14,0,2.0,1840,1934
200511079,2005-11-15,Seaway Valley Open,ON,26,0,2.5,1835,1916
200512064,2005-12-01,2005 RA Autumn Frost B,ON,6,0,1.5,1821,1898
200601081,2006-01-15,RA Winter Open,ON,37,132741,4.0,1977,1925
200602077,2006-02-16,2006 RA Club Championship,ON,43,120736,3.0,1765,1897
200603047,2006-03-05,RA Spring Open 2006 A Section,ON,23,107391,2.0,2001,1918
200604089,2006-04-06,RACC 2006 Spring Thaw RR Section 3,ON,4,107184,2.5,1951,1928
200604104,2006-04-09,MacIntosh Open 2006,ON,39,102011,3.0,1674,1888
200605061,2006-05-07,RN Webb Memorial,ON,28,127300,3.5,1973,1915
200606029,2006-06-01,RA Pickup 1,ON,40,120736,1.0,1672,1896
200608008,2006-07-09,Canadian Junior Qualifier,ON,16,111830,2.0,2008,1913
200608012,2006-07-13,CYCC 2006 U12 Boys,ON,29,111830,4.5,1646,1869
200608019,2006-07-20,RA Pickup 2,ON,41,106629,1.0,2106,1888
200608040,2006-07-30,RA Summer Open,ON,31,132741,4.0,2017,1924
200609033,2006-08-31,RACC Pickup 3,ON,35,107184,3.5,2210,1990
200609059,2006-09-10,RA Fall Open,ON,41,105738,3.0,2035,2008
200610132,2006-10-22,2006 National Capital Open Section,ON,13,106863,2.5,2029,2014
200610150,2006-10-26,Ron F Rodgers Open Section 2006,ON,36,106856,4.0,2069,2031
200612066,2006-11-19,2006 Seaway Valley Open,ON,26,108267,3.5,2153,2222
200612080,2006-12-07,RACC Autumn Frost Section B,ON,6,107184,3.0,2200,2220
200702020,2007-01-21,2007 RA Winter Open,ON,40,132741,4.0,2254,2227
200702095,2007-02-15,RA Club Championship,ON,47,120736,4.0,2075,2211
200703028,2007-03-04,RA Spring Open Section A,ON,27,107391,3.5,2250,2216
200703142,2007-04-05,2007 RA Spring Thaw RR Section A,ON,4,106629,1.5,2043,2198
200703202,2007-04-15,2007 McIntosh Open,ON,22,108267,3.0,1893,2151
200706062,2007-05-06,26th Annual Arnprior Open,ON,18,100319,3.0,1936,2131
200706063,2007-05-31,RA Chess Club Pickup 1,ON,40,0,3.0,2205,2146
200706110,2007-06-10,Eastern Ontario Open Section A,ON,27,107391,3.0,2175,2151
200706152,2007-07-06,2007 CYCC U14 Boys,ON,32,100944,3.5,1881,2089
200706172,2007-07-12,2007 RACC Pickup 2,ON,35,107184,4.0,2444,2146
200706184,2007-07-15,2007 Canadian Open,ON,280,100944,5.0,2136,2143
200709009,2007-08-26,Cornwall Open,ON,19,132741,3.5,2138,2149
200709014,2007-08-30,RA CC Pickup 3,ON,34,120736,3.5,2146,2149
200709058,2007-09-16,RA Fall Open,ON,33,105738,3.5,2172,2157
200711017,2007-10-21,2007 National Capitial Open A,ON,27,107391,2.5,2237,2171
200711054,2007-11-01,Ron F Rodgers 2007,ON,39,106856,4.0,2162,2175
200712007,2007-11-18,2007 Seaway Valley Open,ON,18,108267,2.5,1924,2139
200712037,2007-12-06,Autumn Frost Tournament Section A,ON,6,107158,1.0,1953,2103
200801054,2008-01-13,RA Winter Open,ON,28,132741,3.5,2138,2116
200802124,2008-02-21,RACC Championship 2008,ON,49,102011,4.0,2017,2101
200803034,2008-03-02,2008 RA Spring Open Section A,ON,15,107391,3.0,2285,2136
200804096,2008-04-10,RA Spring Thaw Section B,ON,4,107158,3.5,2250,2164
200805028,2008-05-04,Arnprior Open,ON,22,100319,3.0,1928,2151
200806015,2008-06-01,Eastern Ontario Open,ON,62,107391,3.0,2271,2174
200806026,2008-06-05,RA Pickup I,ON,42,102011,4.0,2395,2205
200807040,2008-07-17,CJCE CYCC Boys Garcons U14,QC,22,128388,4.5,2016,2170
200807057,2008-07-24,RA Pickup 2,ON,43,103050,3.5,2190,2171
200809026,2008-09-07,RA Fall Open,ON,55,107391,3.5,2333,2210
200810089,2008-10-23,Ron F Rodgers 2008,ON,33,106856,4.0,2109,2208
200811102,2008-11-23,2008 National Capital Open,ON,65,107391,2.5,2073,2190
