eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
199609080,1996-08-11,NBIO Open Section,ON,79,103427,4.5,2277,2321
199611027,1996-10-27,Sudbury Chess Chp,ON,12,102232,5.0,2129,2326
199705023,1997-04-20,Sudbury Spring,ON,16,102232,5.0,2288,2331
199705093,1997-05-19,Toronto International Open,ON,45,100902,4.0,2299,2333
199708038,1997-08-10,NBIO Open,ON,59,120817,3.5,2336,2334
199709032,1997-09-01,Macedonian Labour Day Open,ON,30,0,2.5,2226,2323
199710057,1997-10-05,NE Ontario Closed,ON,10,0,4.5,2350,2330
199712016,1997-11-23,Ontario Closed,ON,10,0,2.0,2139,2296
199804036,1998-03-08,Sudbury March Open,ON,18,0,4.5,2237,2297
199806012,1998-05-18,Toronto International U2300,ON,38,0,3.0,2056,2249
199809041,1998-09-07,Macedonian Open,ON,73,106342,5.0,2578,2314
199811055,1998-10-18,1998 Sudbury Championship,ON,10,0,5.0,2218,2318
199911030,1999-10-24,1999 Sudbury Chess Championship,ON,8,0,5.0,2153,2321
200011021,2000-10-22,Sudbury Fall Open,ON,10,102232,4.5,2121,2317
200102029,2001-01-20,Parry Sound Invitational 2001,ON,12,0,4.0,2295,2323
200109005,2001-08-29,Canadian Closed  Zonal 2001,QC,31,0,3.5,2168,2297
200111013,2001-10-28,Sudbury Fall Open,ON,14,0,5.0,2099,2300
200112052,2001-12-02,North Bay Open,ON,10,0,4.5,2324,2310
200202017,2002-01-26,Parry Sound Winter Open,ON,11,0,4.0,2112,2313
200203022,2002-02-23,Sudbury Winter Open,ON,9,0,3.0,2024,2308
200204017,2002-03-17,Sudbury Spring Open,ON,11,0,4.0,2135,2301
200205079,2002-05-12,2nd Sudbury Spring Open,ON,11,0,5.0,2092,2303
200209025,2002-09-14,2002 Sudbury Chess Championship,ON,12,0,4.0,2125,2295
200212054,2002-12-01,Sudbury Winter Open,ON,9,0,4.0,2060,2296
200305097,2003-04-27,North Ontario Open,ON,19,0,4.0,2086,2285
200310002,2003-09-14,Sudbury Fall Open,ON,13,0,4.5,2091,2282
200405045,2004-04-26,Sudbury Spring Open,ON,15,0,4.5,2106,2278
200410009,2004-09-12,Sudbury 9 11 Open,ON,13,0,4.0,2093,2274
200510128,2005-09-11,Sudbury Fall Open,ON,7,0,5.0,2038,2276
200610067,2006-09-10,Sudbury Fall Open 2006,ON,9,102232,4.0,1962,2263
200712068,2007-11-11,2007 Sudbury Fall Open,ON,9,102232,4.5,2203,2271
200901001,2008-11-30,2008 Sudbury Fall Open,ON,16,102232,3.0,1986,2250
201010003,2010-10-03,2010 Sudbury Ch,ON,14,102232,4.0,2212,2252
201111034,2011-11-20,2011 Sudbury Ch,ON,9,102232,3.5,1905,2241
201211011,2012-11-04,2012 Sudbury Ch,ON,10,102232,4.0,1970,2231
201302013,2013-02-10,2013 Guelph Winter ProAm,ON,30,111830,2.0,1967,2204
201305001,2013-05-12,2013 Sudbury Spring Open,ON,8,148745,4.5,2083,2207
201312001,2013-12-01,2013 Sudbury Ch,ON,13,102232,1.5,1917,2190
201410048,2014-10-26,2014 Sudbury Chess Championship,ON,14,102232,3.0,1800,2145
201504107,2015-04-15,2015 Sudbury Winter Challenge,ON,9,148745,4.5,2124,2161
201507052,2015-07-16,2015 Canadian Closed,ON,44,111830,4.0,2168,2166
201511025,2015-11-08,2015 Sudbury Chess Championship,ON,10,102232,3.0,1856,2132
201604064,2016-04-17,Sudbury Spring Open,ON,7,148745,3.5,1828,2125
201608059,2016-08-24,2016 Sudbury Master Class,ON,4,148663,4.0,2312,2193
201702007,2017-01-29,Sudbury Winter Open,ON,8,102232,4.0,2080,2191
201707032,2017-07-16,2017 Canadian Open Masters,ON,30,101770,0.0,1868,2151
201707035,2017-07-16,2017 Canadian Open U2200,ON,34,101770,5.0,2079,2125
201711031,2017-11-05,Sudbury Championship 2017,ON,15,102232,4.0,2077,2138
201810103,2018-10-28,Sudbury Championship 2018,ON,9,102232,5.0,2232,2200
201903023,2019-03-03,2019 RA March Open,ON,25,106856,2.0,1893,2138
201904007,2019-03-29,Sudbury Mini Tournament,ON,4,148663,3.5,2303,2175
201904052,2019-04-14,Guelph Spring ProAm Pro,ON,12,111830,2.5,2203,2180
201910006,2019-09-29,NothernOntarioChampionship2019,ON,26,148663,3.5,2026,2165
