eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
199610087,1996-10-14,Thanksgiving Open,BC,29,0,3.0,2244,2311
199702023,1997-01-26,Victoria Masters,BC,4,0,2.0,2151,2292
199906034,1999-05-24,Keres Open 99,BC,52,100314,5.0,2215,2288
200005029,2000-04-28,BC Closed,BC,10,100238,4.0,2228,2277
200006127,2000-05-01,Keres Open 2000,BC,42,100314,5.5,2406,2300
200105150,2001-05-21,Keres Memorial 2001 Open,BC,53,0,2.0,2042,2274
200106060,2001-06-17,BC Alberta Masters A,BC,6,0,3.0,2319,2278
200111089,2001-11-18,Jack Taylor Memorial,BC,12,0,1.5,2128,2273
200204047,2002-04-01,2002 Canadian Closed,BC,36,0,6.5,2433,2307
