eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
200008002,2000-06-22,UBC Tuesday Night Swiss,BC,15,104893,3.5,2235,2346
200203040,2002-03-03,March Open Qualifier,BC,36,0,4.0,2115,2335
200205104,2002-05-20,2002 Keres Memorial Open Section,BC,48,0,4.5,2294,2333
200401045,2004-01-18,North Shore Open January 2004,BC,24,0,3.5,2319,2337
200405122,2004-05-24,Keres Memorial 2004 Open,BC,32,0,4.0,2251,2326
200407079,2004-07-18,Western Canadian Open,BC,97,0,7.0,2324,2330
