eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
199706017,1997-05-19,Keres Memorial O,BC,31,0,6.0,2617,2544
199707048,1997-06-29,Canada Day Open,ON,24,0,3.5,2533,2543
199709032,1997-09-01,Macedonian Labour Day Open,ON,30,0,4.5,2596,2549
199801014,1997-12-28,Christmas Day Open,ON,22,0,3.0,2347,2533
199803057,1998-03-08,Toronto Class Open,ON,24,0,3.5,2495,2534
199805082,1998-05-18,Keres Memorial Open,BC,56,100314,4.5,2352,2515
199901043,1998-12-30,Christmas Day Open,ON,46,0,4.0,2536,2518
199903038,1999-03-07,99 TO Class Master,ON,25,0,4.5,2586,2526
199904029,1999-04-04,1999 Toronto Open,ON,53,0,4.0,2523,2526
199906034,1999-05-24,Keres Open 99,BC,52,100314,6.0,2602,2539
199909026,1999-09-06,Macedonian Open,ON,33,0,5.0,2577,2545
200001032,1999-12-29,Pan American Intercollegiate Team,ON,135,110210,5.0,2485,2546
200010066,2000-10-09,Toronto Thanksgiving 2000 Open,ON,23,100942,4.5,2470,2541
200110065,2001-10-08,DCC Thanksgiving Open,ON,24,0,4.0,2338,2526
200202089,2002-02-17,DCC St Valentines Open,ON,24,0,4.0,2448,2522
200203081,2002-03-10,DCC Toronto Class Open,ON,19,0,4.0,2514,2522
200204043,2002-03-31,DCC Toronto Open,ON,23,0,4.5,2465,2523
200305150,2003-05-19,2003 Keres Memorial Open,BC,49,0,4.5,2369,2506
200308021,2003-08-10,2003 Guelph ProAm Int Open,ON,38,0,5.5,2489,2502
200309025,2003-09-01,Labour Day Macedonian Open,ON,37,0,3.5,2309,2484
200310072,2003-10-08,BGC September Masters,ON,8,0,4.5,2442,2477
200408050,2004-08-15,Montreal International B 2004,QC,12,0,5.0,2414,2463
201009008,2010-09-06,2010 Battle at the Border,AB,32,127161,4.5,2452,2473
