eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost,rating_type
199703090,1997-03-06,Scarborough Thursday,ON,41,0,6.0,2399,2293,R
199705072,1997-05-08,Scarborough Thursday 1,ON,8,100904,3.5,2183,2262,R
199709032,1997-09-01,Macedonian Labour Day Open,ON,30,0,3.5,2369,2288,R
199710076,1997-10-23,Scarborough Thurs Fall O,ON,36,100904,3.0,2149,2269,R
199802017,1998-01-22,Scarborough 97 98 Club Champ 1,ON,10,0,7.0,2420,2312,R
199803038,1998-03-05,Bent Jensen Open,ON,34,0,4.0,2284,2317,R
199805089,1998-05-24,SCC Thursday Spring RR 1,ON,8,0,3.0,2116,2289,R
199809029,1998-08-22,Susies Chess Party,ON,22,0,2.0,1981,2095,Q
199809041,1998-09-07,Macedonian Open,ON,73,106342,2.0,2086,2265,R
199810006,1998-09-20,Ottawa Open,ON,88,101613,3.5,2423,2282,R
199902001,1998-12-15,1998 WHCC Fall Swiss,ON,16,100962,7.0,2200,2278,R
199902054,1999-02-16,Toronto Closed,ON,10,0,7.0,2548,2321,R
199906065,1999-05-31,1999 West Hill CC Champ Grp A,ON,8,100962,0.0,1785,2310,R
199909026,1999-09-06,Macedonian Open,ON,33,0,3.5,2357,2314,R
199909038,1999-09-12,1999 September Open,ON,22,100942,0.0,1694,2302,R
200103069,2001-03-11,2001 Toronto Class Champs Masters,ON,19,0,3.0,2109,2285,R
200104003,2001-03-17,Scarborough Shamrock Active,ON,22,0,5.0,2283,2140,Q
200209008,2002-09-02,Toronto Labour Day Open,ON,26,0,4.5,2395,2298,R
200309025,2003-09-01,Labour Day Macedonian Open,ON,37,0,3.0,2259,2294,R
200310072,2003-10-08,BGC September Masters,ON,8,0,1.0,2069,2263,R
200511079,2005-11-15,Seaway Valley Open,ON,26,0,1.0,1744,2236,R
200609040,2006-09-04,Toronto Labour Day Open Section,ON,24,106974,1.0,1898,2211,R
200802143,2008-02-24,Hamilton Winter Open,ON,36,102646,4.0,2087,2206,R
200807021,2008-06-29,2008 Toronto Canada Day Open,ON,41,106974,2.5,2062,2182,R
200809012,2008-09-01,Toronto Labour Day Open,ON,42,106974,3.5,2252,2198,R
200809026,2008-09-07,RA Fall Open,ON,55,107391,1.5,1968,2156,R
200810087,2008-10-23,Howard Ridout Memorial Swiss,ON,40,106974,4.0,2069,2144,R
200812102,2008-12-18,SCC Fall Swiss Open,ON,39,106974,1.5,1781,2092,R
200901054,2009-01-18,2009 RA Winter Open,ON,38,107391,2.5,2186,2112,R
200902068,2009-02-19,Jack Frost Swiss (Open),ON,38,106974,5.5,2321,2170,R
200902105,2009-02-22,Hart House Reading Week Open,ON,38,106974,2.5,2130,2167,R
200904068,2009-04-19,PWC Toronto Open,ON,83,101805,2.5,2290,2195,R
200905002,2009-04-23,Scarborough CC Championship RR,ON,10,106974,7.0,2395,2252,R
200906061,2009-06-18,SCC Spring Swiss -- Open,ON,44,106974,0.0,1709,2242,R
200907006,2009-07-05,Hart House Summer Open,ON,27,127516,3.0,2288,2247,R
200907018,2009-07-19,2009 Canadian Open,AB,203,135072,3.5,1905,2210,R
200909013,2009-09-07,2009 Toronto Labour Day Open,ON,35,106974,3.5,2326,2227,R
200910021,2009-10-12,2009 Toronto Thanksgiving Open,ON,26,106974,2.5,2121,2217,R
200910086,2009-10-29,Howard Ridout Memorial Open,ON,50,106974,5.5,2304,2234,R
200912034,2009-12-06,William F. Darch VI Master Expert S,ON,3,102662,1.0,2171,2232,R
200912073,2009-12-17,SCC Falling Leaves Open,ON,47,106974,5.0,2215,2240,R
200912078,2009-12-20,Hart House Holidays Open,ON,32,127516,4.0,2591,2262,R
201002029,2010-02-11,Scarborough CC Jack Frost Open,ON,63,109746,5.0,2356,2289,R
201004069,2010-04-26,2010 Scarborough CC Ch,ON,10,109746,4.0,2176,2272,R
201006023,2010-06-11,2010 Hart House Closed Ch,ON,18,127516,5.0,2333,2291,R
201006040,2010-06-24,Lazy Hazy Summer Swiss - Open,ON,57,109746,6.5,2215,2290,R
201010040,2010-10-21,Howard Ridout Memorial -- 2000+,ON,21,109746,2.5,2020,2259,R
201012024,2010-12-09,Falling Leaves Swiss Over 2000,ON,22,109746,4.5,2273,2260,R
201012054,2010-12-19,2010 Hart House Holidays Open,ON,37,127516,2.5,2211,2255,R
201102060,2011-02-21,Hart House Reading Week Open,ON,29,127516,2.5,2190,2248,R
201104010,2011-04-03,2011 Toronto Closed Ch,ON,8,145968,1.0,2040,2220,R
201105031,2011-05-12,2011 Scarborough CC Ch,ON,10,109746,5.0,2186,2215,R
201107027,2011-07-17,48th Canadian Open Ch 2011,ON,152,100234,4.0,2094,2186,R
201202015,2012-02-20,2012 Hart House Reading Week Open,ON,28,132393,2.5,2133,2172,R
201204009,2012-04-09,6th Annual Grand Pacific Open,BC,67,129909,4.0,2250,2192,R
201206039,2012-06-29,2012 Hart House Ch,ON,10,132393,5.5,2146,2175,R
201209007,2012-09-03,2012 Labour Day at Hart House-U2200,ON,33,127516,4.0,2205,2181,R
