eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
200711074,2007-11-11,Chess Academy Nov 11 Int 3 6,ON,5,108387,3.0,988,994
200711091,2007-11-18,Chess Academy Nov 18 Int 3 3,ON,6,108387,5.0,1408,1228
200711126,2007-11-25,Chess Academy Nov 25 Int 3 1,ON,4,108387,3.0,1536,1307
200712011,2007-12-02,Chess Academy Dec 2 Adv 1,ON,4,108387,1.0,1462,1331
200802126,2008-02-23,Stephen Leacock CI Championship,ON,9,108098,1.0,1131,1287
200804028,2008-03-06,Scarborough CC Reserve 2008,ON,44,106974,4.0,1534,1419
200806002,2008-05-15,Scarborough CC Spring Swiss08 U1700,ON,24,109746,2.5,1381,1410
200810060,2008-10-19,Chess Academy Advanced 1,ON,4,134840,3.0,1643,1442
200810097,2008-10-26,Chess Academy Advanced 1,ON,4,108387,3.0,1657,1472
200811007,2008-11-02,Chess Academy Advanced 1,ON,4,108387,2.0,1404,1468
200811044,2008-11-09,Chess Academy Advanced 1,ON,4,108387,2.5,1515,1478
200811075,2008-11-16,Chess Academy Advanced 1,ON,4,108387,3.0,1658,1504
200811098,2008-11-15,London November Open U1700,ON,12,109477,3.5,1627,1542
200811103,2008-11-23,Chess Academy Advanced 1,ON,4,108387,2.5,1536,1548
200812004,2008-11-29,Agincourt Regional Qualifier U10,ON,18,108098,6.0,1339,1568
200812009,2008-11-30,Chess Academy Advanced 1,ON,5,108387,3.0,1676,1588
200901010,2008-12-21,2008 Hart House Holidays U1600,ON,24,106974,3.5,1432,1576
200902018,2009-02-01,PMCA Training Tournament,ON,8,133671,2.5,1453,1568
200902107,2009-02-22,Hart House Reading Week U2000,ON,33,106974,2.5,1968,1620
200903009,2009-02-27,David Peng Training Tournament,ON,8,133671,3.5,1492,1622
200904013,2009-03-27,David Peng March TrainingTournament,ON,9,133671,5.0,1719,1668
200904061,2009-04-16,David Peng Advanced April Tourney,ON,9,133671,1.0,1348,1624
200905049,2009-05-03,Guelph Spring ProAm U1700,ON,23,111830,3.5,1621,1630
200905122,2009-05-24,OYCC U10-Boys,ON,31,127489,3.0,1328,1600
200906014,2009-06-05,David Peng June Advanced Senior,ON,14,133671,3.0,1544,1602
