eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
199809005,1998-08-01,Quebec Open Chess Champ 1998,QC,72,0,6.5,2562,2580
200307077,2003-07-20,2003 Canadian Open,ON,141,0,6.5,2609,2595
200308018,2003-08-03,Tournoi International de Montreal,QC,12,0,7.0,2645,2605
200408012,2004-07-18,2004 Canadian Open Championships,ON,124,0,7.0,2521,2601
200408049,2004-08-15,Montreal International A 2004,QC,12,0,7.0,2650,2611
200502011,2005-01-21,Montreal World Chess Tournament,QC,10,0,5.5,2576,2603
200507066,2005-07-17,2005 Canadian Open,AB,222,0,7.0,2445,2589
200510011,2005-08-14,Montreal International 2005,QC,12,0,4.0,2433,2554
200706201,2007-07-28,2007 Quebec Open Section A,QC,39,131182,4.5,2542,2562
200811001,2008-09-02,Montreal International,QC,10,121276,4.5,2512,2558
