eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost,rating_type
200809008,2008-09-01,Toronto Labour Day Open U1600,ON,39,106974,2.0,902,912,R
200810042,2008-10-13,2008 Toronto Thanksgiving U1500,ON,20,106974,1.0,847,889,R
200810088,2008-10-23,Howard Ridout Memorial U1700,ON,29,106974,1.0,868,892,R
200812103,2008-12-18,SCC Fall Swiss U1700,ON,30,106974,2.0,710,876,R
200902018,2009-02-01,PMCA Training Tournament,ON,8,133671,3.0,1402,990,R
200902106,2009-02-22,Hart House Reading Week U1600,ON,22,106974,1.5,1208,1032,R
200903009,2009-02-27,David Peng Training Tournament,ON,8,133671,3.0,1393,1099,R
200903033,2009-03-08,Hamilton Winter Open 2009,ON,47,102646,2.0,1525,1154,R
200904013,2009-03-27,David Peng March TrainingTournament,ON,9,133671,3.0,1096,1148,R
200904033,2009-04-05,Niagara Falls Open 2009,ON,54,103011,1.0,1248,1148,R
200904054,2009-03-25,London March Open U1800,ON,10,109477,2.5,1547,1238,R
200904061,2009-04-16,David Peng Advanced April Tourney,ON,9,133671,2.5,1198,1166,R
200905130,2009-05-24,OYCC U8-Boys,ON,15,127489,3.0,1218,1244,R
200906014,2009-06-05,David Peng June Advanced Senior,ON,14,133671,4.5,1546,1314,R
200906062,2009-06-18,SCC Spring Swiss -- U1700,ON,32,106974,3.0,1305,1324,R
200906064,2009-06-21,Knights of Chess May-June Juniors,ON,22,125681,2.0,1165,1294,R
200907007,2009-07-05,Hart House Summer U1600,ON,51,127516,1.0,1196,1282,R
200907031,2009-07-24,2009 CYCC U8 Open,BC,13,129909,5.5,1380,1334,R
200908007,2009-08-07,David Peng Summer Camp Elite Group,ON,4,133671,3.5,1367,1349,R
200908027,2009-08-23,Hamilton Summer Open 2009 - U1900,ON,20,102646,1.5,1389,1360,R
200908030,2009-08-28,London August Open,ON,22,109477,2.5,1613,1395,R
200909014,2009-09-07,2009 Toronto Labour Day U1600,ON,51,106974,4.0,1521,1441,R
200909025,2009-09-19,David Peng Advanced Back to School,ON,18,133671,2.5,1350,1434,R
200910023,2009-10-12,2009 Toronto Thanksgiving U1800,ON,27,106974,3.0,1598,1484,R
200910036,2009-10-17,PMCA  Advanced 1,ON,9,133671,4.0,1610,1532,R
200910087,2009-10-29,Howard Ridout Memorial U1700,ON,34,106974,5.0,1499,1537,R
200911005,2009-10-29,Knights of Chess September,ON,28,125681,4.5,1542,1554,R
200911029,2009-11-08,2009 Guelph Fall Pro Am U1700,ON,11,111830,3.0,1581,1572,R
200911095,2009-11-22,The Knights of Chess Fall,ON,31,125681,3.0,1320,1524,R
200912074,2009-12-17,SCC Falling Leaves U1700,ON,25,106974,4.0,1595,1556,R
200912080,2009-12-20,Hart House Holidays U1800,ON,45,127516,2.5,1665,1586,R
200912082,2009-12-20,The Knights of Chess December,ON,17,125681,1.0,1297,1568,R
201001018,2010-01-12,PMCA Training Song vs Zhang,ON,2,133671,2.5,1849,1618,R
201001036,2010-01-24,2010 RA Winter Open U2000,ON,32,107391,1.5,1539,1610,R
201002015,2010-02-07,2010 Guelph Winter ProAm U2000,ON,23,111830,2.0,1645,1626,R
201002029,2010-02-11,Scarborough CC Jack Frost Open,ON,63,109746,2.0,1676,1647,R
201002051,2010-02-21,2010 KW Winter U2000,ON,21,127489,2.0,1550,1648,R
201003024,2010-03-14,2010 Hamilton Winter U1900,ON,33,102646,4.0,2004,1738,R
201004009,2010-04-04,2010 Hart House Toronto U2000,ON,22,127516,3.0,1794,1762,R
201004031,2010-04-11,2010 Niagara Falls Open,ON,39,103011,2.5,1508,1720,R
201004037,2010-04-12,M Song vs Y Zhang,ON,2,133671,1.0,1672,1720,R
201004051,2010-04-22,2010 SCC Ch Reserves Open,ON,55,109746,0.0,1495,1712,R
201005043,2010-05-16,2010 OYCC U10B,ON,28,127489,3.5,1342,1680,R
201005067,2010-05-24,2010 Ontario Open U2000,ON,45,100234,3.0,1807,1722,R
201006015,2010-06-06,New Tecumseth Open,ON,12,132393,3.0,1888,1762,R
201006027,2010-06-13,2010 Eastern Ontario Open U1800,ON,19,107391,2.5,1711,1758,R
201006040,2010-06-24,Lazy Hazy Summer Swiss - Open,ON,57,109746,3.5,1802,1780,R
201007016,2010-07-09,2010 CYCC U10 Open,ON,20,107872,5.5,1649,1776,R
201008027,2010-08-19,2010 NA Youth Ch U10 Open,QC,35,101034,4.5,1703,1780,R
201008044,2010-08-22,2010 Hamilton Summer Open,ON,32,102646,1.0,1724,1775,R
201009014,2010-09-06,2010 Toronto Labour Day U1900,ON,32,106974,3.0,1718,1772,R
201009032,2010-09-26,2010 Ottawa Autumn U2000,ON,26,107391,3.0,2025,1830,R
201009036,2010-09-28,London September Standard,ON,12,109477,2.5,1871,1847,R
201010019,2010-10-11,2010 Toronto Thanksgiving Open,ON,27,106974,2.0,1848,1847,R
201010042,2010-10-21,Howard Ridout Memorial -- U2000,ON,35,109746,2.0,1743,1830,R
201011055,2010-11-27,London November Standard,ON,14,109477,2.5,1820,1837,R
201012057,2010-12-19,2010 Hart House Holidays U2100,ON,32,127516,2.5,1838,1838,R
201101032,2011-01-16,2011 Ottawa Winter Open B,ON,33,107391,3.5,2068,1890,R
201102007,2011-02-06,2011 Guelph Winter ProAm U2000,ON,32,111830,3.5,1926,1904,R
201102037,2011-02-17,SCC Jack Frost U2000,ON,31,109746,4.5,1844,1894,R
201102063,2011-02-21,Hart House Reading Week Under 2200,ON,31,127516,2.5,1977,1916,R
201103055,2011-03-13,2011 KW Winter U2100,ON,12,127489,2.5,1760,1890,R
201103090,2011-03-27,2011 Hamilton Winter Open,ON,41,102646,2.0,2005,1914,R
201104066,2011-04-25,2011 Canadian Junior Ch,ON,22,110299,4.5,1962,1925,R
201105024,2011-05-08,2011 Guelph Spring ProAm,ON,13,111830,2.5,2051,1952,R
201105057,2011-05-23,2011 Ontario Open U2000,ON,24,108832,3.5,1878,1932,R
201106039,2011-06-30,SCC Spring Into Summer Over 2000,ON,19,109746,5.0,2063,1964,R
201107016,2011-07-09,2011 Canadian Youth Ch U10 Open,ON,40,127489,6.0,1637,1943,R
201107027,2011-07-17,48th Canadian Open Ch 2011,ON,152,100234,3.5,1921,1940,R
201107037,2011-07-30,2011 Quebec Open,QC,59,134227,5.5,2001,1961,R
201108024,2011-08-21,Hamilton Summer Open Top Guns,ON,16,102646,2.5,2093,1988,R
201109009,2011-09-05,2011 Toronto Labour Day Open,ON,45,106974,2.5,1995,1990,R
201110003,2011-10-02,2011 Ottawa Autumn Open B,ON,25,107391,3.0,2072,2013,R
