eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
199610087,1996-10-14,Thanksgiving Open,BC,29,0,6.5,2656,2598
199706017,1997-05-19,Keres Memorial O,BC,31,0,5.0,2460,2584
199805082,1998-05-18,Keres Memorial Open,BC,56,100314,6.0,2641,2597
199906034,1999-05-24,Keres Open 99,BC,52,100314,6.0,2582,2600
199907017,1999-07-11,1999 Canadian Open,BC,204,100205,9.5,2611,2614
199912017,1999-12-10,Christmas Classic,BC,31,0,4.0,2452,2608
200006127,2000-05-01,Keres Open 2000,BC,42,100314,6.5,2523,2592
200105150,2001-05-21,Keres Memorial 2001 Open,BC,53,0,6.0,2536,2591
200205104,2002-05-20,2002 Keres Memorial Open Section,BC,48,0,5.5,2470,2583
200305150,2003-05-19,2003 Keres Memorial Open,BC,49,0,7.0,2704,2605
200405122,2004-05-24,Keres Memorial 2004 Open,BC,32,0,6.5,2602,2612
200505121,2005-05-23,Keres Memorial Open,BC,37,0,5.0,2288,2587
200605143,2006-05-22,Keres Memorial 2006,BC,34,129817,5.0,2294,2562
200706043,2007-05-21,Paul Keres Memoral Open SECTION,BC,42,108715,6.0,2501,2563
200805110,2008-05-19,Keres Memorial Open,BC,34,108715,5.5,2510,2558
200905094,2009-05-18,2009 Keres Memorial Open,BC,32,145502,5.0,2381,2546
201005069,2010-05-24,35th Keres Memorial Open,BC,35,103043,4.5,2371,2537
201105059,2011-05-23,36th Annual Keres Memorial Open,BC,36,103043,5.5,2530,2541
201205030,2012-05-21,37th Paul Keres Memorial,BC,36,103043,4.0,2298,2520
201304115,2013-05-20,2013 Keres Memorial Open,BC,35,103043,5.5,2593,2531
201405042,2014-05-19,2014 Keres Memorial - Premier,BC,26,103043,5.0,2571,2536
201505064,2015-05-18,2015 Paul Keres Memorial Premier,BC,32,104330,4.5,2446,2529
201705101,2017-05-22,Keres Memorial Premier,BC,34,104330,5.0,2432,2526
201805085,2018-05-21,2018 Paul Keres Memorial Premier,BC,36,103043,4.0,2220,2503
201905094,2019-05-20,Paul Keres Memorial Premier,BC,30,103043,5.5,2468,2506
202205040,2022-05-23,2022 Keres Memorial Premier,BC,42,103043,4.5,2357,2494
202305109,2023-05-22,Keres Memorial Premier,BC,32,103043,5.0,2508,2497
