eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
199806007,1998-05-18,Toronto International Open,ON,54,0,5.5,2619,2652
200007030,2000-07-16,2000 Canadian Open,AB,193,0,8.0,2523,2646
200506026,2005-05-22,Eric Lawson at HB Global Challenge,FO,10,0,0.5,2361,2641
201107027,2011-07-17,48th Canadian Open Ch 2011,ON,152,100234,7.0,2637,2644
201108007,2011-08-01,6th Edmonton International,AB,10,135072,7.0,2600,2640
202111021,2021-11-14,2021 Banff Open over 1800,AB,61,101737,5.0,2388,2629
