eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
199703015,1997-02-09,Kingston Open,ON,17,0,2.5,2227,2272
199703034,1997-02-20,RA CC Champ,ON,58,0,4.5,2147,2246
199703100,1997-03-16,RA Open,ON,16,101613,3.5,2418,2290
199705032,1997-04-24,RA Spring Frost A,ON,6,0,2.5,2330,2298
199712046,1997-12-11,Autumn Frost A,ON,4,0,2.0,2200,2274
199802080,1998-02-19,RA Club Championship,ON,57,0,4.0,2222,2265
199805030,1998-04-23,RA Spring Frost,ON,52,0,1.0,2119,2242
199807046,1998-07-19,1998 Canadian Open,ON,223,101613,7.0,2285,2261
199809007,1998-08-13,Renfrew Open,ON,31,100319,3.0,2195,2248
199809035,1998-08-27,RA Tandem Pick Up,ON,52,0,0.5,2020,2221
199810006,1998-09-20,Ottawa Open,ON,88,101613,2.5,2269,2228
199811027,1998-10-15,RA OKeefe 1998,ON,50,101613,5.5,2354,2247
199811035,1998-10-25,Outaouais Open,QC,36,0,1.5,2139,2241
199901004,1998-12-10,RA Autum Frost,ON,50,0,3.0,2333,2248
199901060,1999-01-16,RA Winter Open,ON,66,100055,1.5,2115,2237
199902056,1999-02-18,RA Club Championship,ON,47,0,4.0,2080,2222
199904010,1999-03-21,RA Spring Open Sec 1,ON,16,101613,2.5,2184,2219
199904064,1999-04-01,RA Spring Frost,ON,44,0,0.0,1864,2205
199905078,1999-05-02,Arnprior Open,ON,37,0,0.0,1546,2192
199911029,1999-10-21,Okeefe 1999,ON,52,0,4.0,2182,2191
200001036,2000-01-06,RA Autumn Frost,ON,45,0,1.5,2042,2162
200003011,2000-02-17,RA Club Champioship,ON,48,0,5.0,2114,2155
200005003,2000-04-02,RA Spring Frost,ON,44,101613,3.0,2230,2167
200011026,2000-10-26,RA OKeefe 2000,ON,48,0,3.5,1989,2134
200012090,2000-11-30,RA Autumn Frost,ON,36,0,1.0,2099,2131
200111018,2001-10-25,R A CC Ron F Rodgers Memorial,ON,37,0,4.0,1941,2097
