eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
199708036,1997-08-05,UBC Tuesday July Aug,BC,18,0,3.5,2304,2296
199709014,1997-08-26,UBC Tuesday August,BC,13,100934,3.5,2231,2298
199709021,1997-08-30,Zuk vs Hallam,BC,2,0,2.5,2589,2317
199902011,1999-01-26,Surrey Chess Club Jan 99,BC,24,0,4.0,2180,2311
199903080,1999-03-02,Surrey Open Super Series 1,BC,10,0,3.0,2145,2296
199904069,1999-04-05,BC Closed 1999,BC,10,100238,5.0,2317,2300
199905059,1999-03-30,Surrey Chess Club Open,BC,31,0,5.0,2177,2309
199906008,1999-05-04,Surrey Chess Club Open April 99,BC,27,0,4.5,2047,2314
199906034,1999-05-24,Keres Open 99,BC,52,100314,4.5,2273,2309
199910044,1999-10-11,1999 Thanksgiving Open,BC,27,0,3.0,2122,2289
199910048,1999-10-12,Surrey Chess Club Sept 99,BC,16,0,3.5,2182,2289
199912007,1999-11-22,Surrey Chess Club November 99,BC,17,0,4.0,2137,2290
200002126,2000-02-21,Surrey Chess Club Feb 2000,BC,14,0,4.0,2111,2284
200004127,2000-04-03,Surrey Chess Club April 2000,BC,20,0,4.0,1955,2276
200005029,2000-04-28,BC Closed,BC,10,100238,4.0,2229,2268
200006032,2000-05-01,Surrey Chess Club May,BC,10,0,7.0,2043,2253
200010075,2000-10-01,SCC Oct 2000,BC,13,0,5.0,2159,2261
200101052,2000-12-01,SCC December 2000,BC,13,0,4.0,1869,2250
200105036,2001-04-24,SCC April 2001,BC,11,0,3.0,1980,2232
200108043,2001-07-20,SCC072001,BC,10,0,4.5,2104,2235
200210158,2002-10-12,SCC2002OCT Open,BC,16,0,4.5,2154,2240
200212016,2002-11-26,SCCNOV2002,BC,16,0,4.0,2086,2237
200212066,2002-12-08,Wiebe vs Zuk,BC,2,0,3.0,2009,2209
200303082,2003-02-28,Wiebe vs Zuk,BC,2,0,10.0,2130,2159
200303109,2003-03-11,SCC 2003 March,BC,14,0,4.5,2071,2169
200304019,2003-03-25,SCC2003April,BC,16,0,4.0,2206,2180
200305098,2003-05-06,SCC2003May,BC,16,0,4.5,2198,2194
200306049,2003-06-03,SCC2003June,BC,14,0,4.0,1991,2184
200311033,2003-11-11,SCC 2003 November,BC,12,0,4.5,2119,2193
200402053,2004-02-17,SCC February 2004,BC,12,0,2.5,1774,2180
