eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
200711029,2007-10-30,2007 October TNT,MB,22,100925,1.0,1373,1373
200809005,2008-08-31,2008 Yanofsky Memorial U1800,MB,29,107847,2.5,1545,1504
200906067,2009-06-23,Winnipeg June 2009 TNT,MB,24,107847,2.0,1544,1520
201409004,2014-08-31,2014 Abe Yanofsky Memorial U1800,MB,12,101126,4.0,1921,1654
201410005,2014-09-30,2014 September TNT,MB,22,101126,3.5,2298,1790
201410055,2014-10-29,2014 October TNT,MB,21,101126,2.5,1961,1813
201501024,2015-01-27,2015 January TNT,MB,25,101126,4.0,2316,1993
201504020,2015-03-31,2015 March TNT,MB,29,101126,3.0,1856,1975
201505095,2015-05-25,2015 May Sunday Quads A,MB,6,101126,3.0,2479,2037
201507059,2015-07-28,2015 Winnipeg Open,MB,33,101126,7.0,2155,2121
201508028,2015-08-16,2015 Abe Yanofsky Memorial Open,MB,18,101126,3.0,2058,2108
201509030,2015-09-13,2015 Montreal Open Championship,QC,40,131928,2.5,2066,2093
201509049,2015-09-29,2015 Arsen Aban Memorial,MB,30,101126,4.0,2188,2111
201510046,2015-10-27,2015 Les Mundwiler Memorial,MB,20,101126,2.5,1931,2091
201512041,2015-12-15,2015 Earl Rosenbloom Memorial,MB,16,101126,5.5,2272,2171
201601025,2016-01-10,2016 RA Winter Open,ON,12,106856,2.5,2190,2169
201601062,2016-01-26,2016 January TNT,MB,25,132113,4.0,2370,2220
201602073,2016-02-23,Feb TNT 2016,MB,17,106554,2.5,2081,2210
201603090,2016-03-29,2016 Albert Boxer Memorial,MB,20,101126,2.5,2036,2194
201606010,2016-05-31,2016 May TNT,MB,29,101126,2.5,1996,2157
201607045,2016-07-26,2016 Winnipeg Open,MB,28,101126,4.5,2041,2123
201609036,2016-09-27,2016 September TNT,MB,22,132113,3.5,2080,2124
201610064,2016-10-25,2016 October TNT,MB,20,101126,4.0,2337,2186
201612046,2016-12-20,2016 Earl Rosenbloom Memorial,MB,13,101126,3.0,2253,2196
201702008,2017-01-31,2017 January TNT,MB,26,101126,3.5,2324,2210
201702084,2017-02-19,South Sask Championship Open,SK,35,135341,4.5,2398,2239
201703010,2017-02-28,2017 February TNT,MB,26,101126,2.0,1904,2232
201703075,2017-03-28,2017 March TNT,MB,29,101126,2.5,2188,2234
201704101,2017-04-25,2017 April TNT,MB,31,132113,3.5,2323,2243
201705101,2017-05-22,Keres Memorial Premier,BC,34,104330,1.0,1912,2223
201706007,2017-05-30,2017 May TNT,MB,27,150763,4.5,2337,2235
201707030,2017-07-12,2017 Manitoba Closed,MB,8,101126,0.5,1858,2220
201707045,2017-07-25,2017 Winnipeg Open,MB,37,150763,7.0,2316,2241
201709006,2017-09-03,2017 Abe Yanofsky Memorial Open,MB,27,132113,4.0,2263,2256
201709041,2017-09-26,2017 September TNT,MB,27,150763,3.5,2186,2261
201712056,2017-12-19,2017 Earl Rosenbloom Memorial,MB,29,101126,3.0,2164,2257
201802064,2018-02-18,2018 South Saskatchewan Open,SK,25,160233,4.0,2392,2280
201805118,2018-05-29,2018 May TNTMark Schulman Memorial,MB,29,101126,3.0,1969,2274
201806031,2018-06-09,2018 Manitoba Closed,MB,8,101126,4.5,2384,2297
