eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
199609098,1996-08-29,Canadian Closed,ON,16,0,7.5,2440,2382
199703079,1997-03-01,Manitoba Closed,MB,10,0,6.0,2291,2367
199707020,1997-06-23,Winnipeg Open,MB,19,0,4.0,2273,2371
199707060,1997-07-20,Canadian Open,MB,188,100925,7.0,2242,2357
199710045,1997-09-01,Albert Boxer Classic,MB,39,0,5.5,2281,2360
199806056,1998-06-14,Winnipeg Open,MB,19,0,4.5,2248,2365
199807046,1998-07-19,1998 Canadian Open,ON,223,101613,6.5,2137,2332
199811001,1998-08-22,Master Invitational,MB,6,111177,1.5,2072,2306
199811002,1998-09-08,2nd Albert Boxer Open,MB,35,100925,4.0,2071,2285
199903018,1999-02-21,1999 Manitoba Closed Champ,MB,8,0,4.5,2304,2288
199906056,1999-05-24,Manitoba Open,MB,36,0,4.0,1985,2264
199907008,1999-06-27,Winnipeg Open,MB,12,0,5.0,2295,2274
199908047,1999-08-08,99 FCGIO Open,ON,67,0,4.0,2221,2264
199909025,1999-09-06,Albert Boxer Classic,MB,31,106687,4.5,2248,2265
200109035,2001-07-22,Manitoba Summer Open,MB,20,0,4.0,2016,2256
200109040,2001-09-03,Albert Boxer open,MB,25,0,5.0,2256,2261
200308006,2003-07-27,Summer Open,MB,15,0,4.5,2226,2265
200309022,2003-09-01,Abe Yanofsky Memorial Open,MB,35,0,3.5,2170,2253
200410006,2004-09-06,Abe Yanofsky Memorial,MB,53,0,4.5,2242,2255
200609034,2006-09-03,Abe Yanofsky Memorial,MB,51,100925,4.0,2211,2255
200809004,2008-08-31,2008 Yanofsky Memorial Open,MB,25,107847,3.0,2121,2248
201207041,2012-07-29,2012 Abe Yanofsky Memorial Open,MB,23,101126,4.5,2482,2278
202408002,2024-07-26,2024 MCA Summer Seniors,MB,12,102686,4.0,2212,2282
202409015,2024-09-02,2024 Yanofsky Memorial Open,MB,36,102686,4.0,1959,2256
