eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost
201201017,2012-01-15,2012 Canadian University Ch A,ON,33,129797,4.0,2332,2272
201205016,2012-05-13,2012 McGill Open Ch,QC,19,148358,3.5,2224,2271
201209011,2012-09-09,2012 Ch Ouvert de Montreal A,QC,39,106007,3.0,2395,2294
201301020,2013-01-13,2013 Canadian University Ch,QC,32,131928,4.0,2397,2315
201301031,2013-01-20,2013 Ch par classe DESJARDINS du QC,QC,19,152937,3.5,2392,2332
201302010,2013-02-10,2013 Ch Junior PEPSICO du Quebec,QC,24,152936,4.0,2195,2331
201401021,2014-01-12,2014 CUCC - Ch,ON,37,154860,5.0,2234,2346
201405008,2014-05-04,2014 McGill Open - 2000+,QC,30,148330,4.0,2552,2381
201501010,2015-01-11,CUCC 2015,ON,44,0,4.0,2585,2416
