id,num_tournaments,total_players,name,avg_players_per_tournament
152648,25,323,Person ID 152648,12.92
145711,25,219,Person ID 145711,8.76
142946,25,173,Person ID 142946,6.92
100904,24,413,Person ID 100904,17.21
126660,24,348,Person ID 126660,14.50
103047,24,322,Person ID 103047,13.42
111251,24,314,Person ID 111251,13.08
189898,24,193,Person ID 189898,8.04
150533,23,918,Person ID 150533,39.91
100944,23,744,Person ID 100944,32.35
162657,23,469,Person ID 162657,20.39
153540,23,443,Person ID 153540,19.26
187071,23,400,Person ID 187071,17.39
162803,23,289,Person ID 162803,12.57
125730,23,262,Person ID 125730,11.39
109393,23,247,Person ID 109393,10.74
165292,23,222,Person ID 165292,9.65
172572,23,155,Person ID 172572,6.74
154197,23,138,Person ID 154197,6.00
162500,23,98,Person ID 162500,4.26
106295,22,383,Person ID 106295,17.41
143038,22,321,Person ID 143038,14.59
103754,22,237,Person ID 103754,10.77
123727,22,138,Person ID 123727,6.27
110949,21,744,Person ID 110949,35.43
105650,21,501,Person ID 105650,23.86
162670,21,454,Person ID 162670,21.62
141086,21,443,Person ID 141086,21.10
151235,21,401,Person ID 151235,19.10
128800,21,248,Person ID 128800,11.81
107184,21,219,Person ID 107184,10.43
161221,20,634,Person ID 161221,31.70
131928,20,519,Person ID 131928,25.95
167770,20,509,Person ID 167770,25.45
107766,20,371,Person ID 107766,18.55
106424,20,319,Person ID 106424,15.95
161893,20,272,Person ID 161893,13.60
142224,20,251,Person ID 142224,12.55
103904,20,174,Person ID 103904,8.70
122967,20,96,Person ID 122967,4.80
100205,19,529,Person ID 100205,27.84
172646,19,302,Person ID 172646,15.89
149130,19,227,Person ID 149130,11.95
145882,19,210,Person ID 145882,11.05
135000,19,202,Person ID 135000,10.63
181013,19,133,Person ID 181013,7.00
158246,18,344,Person ID 158246,19.11
105934,18,299,Person ID 105934,16.61
105611,18,292,Person ID 105611,16.22
126735,18,208,Person ID 126735,11.56
121063,18,192,Person ID 121063,10.67
111760,18,182,Person ID 111760,10.11
139775,18,142,Person ID 139775,7.89
112806,18,114,Person ID 112806,6.33
103011,17,525,Person ID 103011,30.88
148100,17,505,Person ID 148100,29.71
100319,17,354,Person ID 100319,20.82
141956,17,182,Person ID 141956,10.71
112276,17,112,Person ID 112276,6.59
101737,16,670,Person ID 101737,41.88
144419,16,464,Person ID 144419,29.00
162452,16,338,Person ID 162452,21.13
100934,16,321,Person ID 100934,20.06
172857,16,321,Person ID 172857,20.06
100907,16,294,Person ID 100907,18.38
164931,16,278,Person ID 164931,17.38
145717,16,253,Person ID 145717,15.81
120708,16,213,Person ID 120708,13.31
106380,16,211,Person ID 106380,13.19
128144,16,191,Person ID 128144,11.94
171509,16,144,Person ID 171509,9.00
151151,16,126,Person ID 151151,7.88
134840,16,100,Person ID 134840,6.25
100902,15,583,Person ID 100902,38.87
142188,15,554,Person ID 142188,36.93
177557,15,499,Person ID 177557,33.27
127485,15,280,Person ID 127485,18.67
102232,15,174,Person ID 102232,11.60
132339,15,152,Person ID 132339,10.13
158604,14,663,Person ID 158604,47.36
155316,14,405,Person ID 155316,28.93
132113,14,310,Person ID 132113,22.14
146926,14,254,Person ID 146926,18.14
108267,14,246,Person ID 108267,17.57
109412,14,218,Person ID 109412,15.57
100331,14,201,Person ID 100331,14.36
165770,14,182,Person ID 165770,13.00
155325,14,174,Person ID 155325,12.43
150799,14,124,Person ID 150799,8.86
112567,14,101,Person ID 112567,7.21
100238,13,218,Person ID 100238,16.77
129419,13,168,Person ID 129419,12.92
189889,13,159,Person ID 189889,12.23
121684,13,155,Person ID 121684,11.92
166573,13,129,Person ID 166573,9.92
100314,12,356,Person ID 100314,29.67
112426,12,173,Person ID 112426,14.42
163511,12,153,Person ID 163511,12.75
147647,12,152,Person ID 147647,12.67
144425,12,138,Person ID 144425,11.50
103901,12,94,Person ID 103901,7.83
128107,12,81,Person ID 128107,6.75
112308,12,41,Person ID 112308,3.42
134704,11,398,Person ID 134704,36.18
167772,11,296,Person ID 167772,26.91
160235,11,288,Person ID 160235,26.18
185176,11,192,Person ID 185176,17.45
100070,11,187,Person ID 100070,17.00
100182,11,172,Person ID 100182,15.64
106629,11,159,Person ID 106629,14.45
151203,11,153,Person ID 151203,13.91
101750,11,138,Person ID 101750,12.55
110780,11,126,Person ID 110780,11.45
121367,11,118,Person ID 121367,10.73
151005,11,112,Person ID 151005,10.18
105433,11,104,Person ID 105433,9.45
131331,11,86,Person ID 131331,7.82
100962,11,85,Person ID 100962,7.73
107158,11,63,Person ID 107158,5.73
174844,11,43,Person ID 174844,3.91
101743,11,31,Person ID 101743,2.82
120472,10,473,Person ID 120472,47.30
178080,10,292,Person ID 178080,29.20
120736,10,224,Person ID 120736,22.40
100905,10,215,Person ID 100905,21.50
160251,10,195,Person ID 160251,19.50
121040,10,110,Person ID 121040,11.00
104728,10,87,Person ID 104728,8.70
133977,10,79,Person ID 133977,7.90
135268,10,78,Person ID 135268,7.80
127517,10,68,Person ID 127517,6.80
103015,10,58,Person ID 103015,5.80
100234,9,433,Person ID 100234,48.11
178945,9,223,Person ID 178945,24.78
130962,9,191,Person ID 130962,21.22
139599,9,190,Person ID 139599,21.11
184829,9,159,Person ID 184829,17.67
184595,9,151,Person ID 184595,16.78
104793,9,149,Person ID 104793,16.56
164785,9,135,Person ID 164785,15.00
138247,9,133,Person ID 138247,14.78
141376,9,133,Person ID 141376,14.78
101735,9,120,Person ID 101735,13.33
142973,9,111,Person ID 142973,12.33
171300,9,105,Person ID 171300,11.67
143057,9,83,Person ID 143057,9.22
111808,9,80,Person ID 111808,8.89
101203,9,58,Person ID 101203,6.44
145597,9,39,Person ID 145597,4.33
110351,8,305,Person ID 110351,38.13
156644,8,266,Person ID 156644,33.25
148369,8,260,Person ID 148369,32.50
178112,8,243,Person ID 178112,30.38
132741,8,208,Person ID 132741,26.00
163200,8,193,Person ID 163200,24.13
109633,8,165,Person ID 109633,20.63
147732,8,162,Person ID 147732,20.25
159603,8,138,Person ID 159603,17.25
137841,8,128,Person ID 137841,16.00
175328,8,125,Person ID 175328,15.63
121548,8,113,Person ID 121548,14.13
127769,8,100,Person ID 127769,12.50
103040,8,91,Person ID 103040,11.38
100221,8,90,Person ID 100221,11.25
109003,8,88,Person ID 109003,11.00
152240,8,78,Person ID 152240,9.75
105067,8,77,Person ID 105067,9.63
103595,8,76,Person ID 103595,9.50
107764,8,63,Person ID 107764,7.88
108323,8,60,Person ID 108323,7.50
161124,8,53,Person ID 161124,6.63
134376,8,39,Person ID 134376,4.88
130125,8,35,Person ID 130125,4.38
173026,7,234,Person ID 173026,33.43
175273,7,217,Person ID 175273,31.00
109109,7,214,Person ID 109109,30.57
108909,7,208,Person ID 108909,29.71
110732,7,158,Person ID 110732,22.57
157397,7,156,Person ID 157397,22.29
150763,7,153,Person ID 150763,21.86
160233,7,123,Person ID 160233,17.57
104469,7,116,Person ID 104469,16.57
127161,7,109,Person ID 127161,15.57
170927,7,96,Person ID 170927,13.71
190946,7,83,Person ID 190946,11.86
175257,7,82,Person ID 175257,11.71
103999,7,73,Person ID 103999,10.43
186039,7,63,Person ID 186039,9.00
100979,7,62,Person ID 100979,8.86
140627,7,61,Person ID 140627,8.71
108727,7,51,Person ID 108727,7.29
100990,7,47,Person ID 100990,6.71
112737,7,37,Person ID 112737,5.29
104330,6,258,Person ID 104330,43.00
110641,6,253,Person ID 110641,42.17
120198,6,176,Person ID 120198,29.33
121276,6,141,Person ID 121276,23.50
151471,6,133,Person ID 151471,22.17
160324,6,130,Person ID 160324,21.67
152913,6,124,Person ID 152913,20.67
104754,6,121,Person ID 104754,20.17
106287,6,120,Person ID 106287,20.00
160517,6,118,Person ID 160517,19.67
106488,6,114,Person ID 106488,19.00
102934,6,110,Person ID 102934,18.33
101501,6,102,Person ID 101501,17.00
121625,6,101,Person ID 121625,16.83
100906,6,100,Person ID 100906,16.67
133114,6,95,Person ID 133114,15.83
126728,6,87,Person ID 126728,14.50
109017,6,82,Person ID 109017,13.67
127519,6,74,Person ID 127519,12.33
111334,6,68,Person ID 111334,11.33
